last_change_date_time,resource_type,resource_status,resource,campaign,ad_group
2026-08-18 18:43:56.125071,CAMPAIGN,CHANGED,customers/1487707588/campaigns/23473633574,customers/1487707588/campaigns/23473633574,
2026-08-18 18:42:41.019119,CAMPAIGN,CHANGED,customers/1487707588/campaigns/20707086616,customers/1487707588/campaigns/20707086616,
2026-08-18 18:34:26.657487,CAMPAIGN,CHANGED,customers/1487707588/campaigns/20685916051,customers/1487707588/campaigns/20685916051,
2026-08-18 18:27:11.667935,CAMPAIGN,CHANGED,customers/1487707588/campaigns/23468568174,customers/1487707588/campaigns/23468568174,
2026-08-18 18:26:59.980175,CAMPAIGN,CHANGED,customers/1487707588/campaigns/15145890855,customers/1487707588/campaigns/15145890855,
2026-08-18 17:32:26.046479,CAMPAIGN,CHANGED,customers/1487707588/campaigns/23478250789,customers/1487707588/campaigns/23478250789,
2026-08-18 17:29:33.008543,CAMPAIGN,CHANGED,customers/1487707588/campaigns/15347327648,customers/1487707588/campaigns/15347327648,
2026-08-18 17:28:22.762239,CAMPAIGN,CHANGED,customers/1487707588/campaigns/23478231493,customers/1487707588/campaigns/23478231493,
2026-08-18 17:18:19.388863,CAMPAIGN,CHANGED,customers/1487707588/campaigns/23478262294,customers/1487707588/campaigns/23478262294,
2026-08-18 17:01:42.265903,CAMPAIGN,CHANGED,customers/1487707588/campaigns/23473611323,customers/1487707588/campaigns/23473611323,
2026-08-18 16:57:36.002687,CAMPAIGN,CHANGED,customers/1487707588/campaigns/1509955426,customers/1487707588/campaigns/1509955426,
2026-08-18 16:57:34.865647,CAMPAIGN,CHANGED,customers/1487707588/campaigns/23473551299,customers/1487707588/campaigns/23473551299,
2026-08-18 16:55:02.350111,CAMPAIGN,CHANGED,customers/1487707588/campaigns/23468547546,customers/1487707588/campaigns/23468547546,
2026-08-18 16:36:38.557391,CAMPAIGN,CHANGED,customers/1487707588/campaigns/23468574954,customers/1487707588/campaigns/23468574954,
2026-08-18 16:35:18.003775,CAMPAIGN,CHANGED,customers/1487707588/campaigns/23619183073,customers/1487707588/campaigns/23619183073,
2026-08-18 16:25:40.146991,CAMPAIGN,CHANGED,customers/1487707588/campaigns/15210620323,customers/1487707588/campaigns/15210620323,
2026-08-18 16:10:43.259647,CAMPAIGN,CHANGED,customers/1487707588/campaigns/20768068758,customers/1487707588/campaigns/20768068758,
2026-08-18 15:49:38.495343,CAMPAIGN,CHANGED,customers/1487707588/campaigns/23473608146,customers/1487707588/campaigns/23473608146,
2026-08-18 15:15:41.193935,CAMPAIGN,CHANGED,customers/1487707588/campaigns/6503042592,customers/1487707588/campaigns/6503042592,
