campaign_id,campaign,strategy,last_strategy_change,last_target_change,days_since_strategy,days_since_target,in_learning
1509955426,EX | 25 | CH | SEARCH | LEAD | Brand,MAXIMIZE_CONVERSIONS,,,,,no
6496821254,EX | 26 | CH | SEARCH | LEAD | Dachdecker,MAXIMIZE_CONVERSIONS,,,,,no
6503042592,EX | 26 | CH | SEARCH | LEAD | Maler,MAXIMIZE_CONVERSIONS,,,,,no
15145890855,EX | 25 | CH | SEARCH | LEAD | Montage-Elektriker,MAXIMIZE_CONVERSIONS,,,,,no
15210620317,EX | 25 | CH | SEARCH | LEAD | Automatiker,MAXIMIZE_CONVERSIONS,,,,,no
15210620323,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,MAXIMIZE_CONVERSIONS,,,,,no
15347327648,EX | 25 | CH | SEARCH | LEAD | Metallbauer,MAXIMIZE_CONVERSIONS,,,,,no
20685916051,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,MAXIMIZE_CONVERSIONS,,,,,no
20691357994,EX | 25 | CH | SEARCH | LEAD | Schweisser,MAXIMIZE_CONVERSIONS,,,,,no
20702215351,EX | 25 | CH | SEARCH | LEAD | Polymechaniker,MAXIMIZE_CONVERSIONS,,,,,no
20707086616,EX | 25 | CH | SEARCH | LEAD | Produktionsmechaniker,MAXIMIZE_CONVERSIONS,,,,,no
20768068758,EX | 25 | CH | SEARCH | LEAD | Automatikmonteur,MAXIMIZE_CONVERSIONS,,,,,no
23369525700,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,MAXIMIZE_CONVERSIONS,,,,,no
23468547546,EX | 25 | CH | SEARCH | LEAD | Gärtner,MAXIMIZE_CONVERSIONS,,,,,no
23468556621,EX | 25 | CH | SEARCH | LEAD | Gipser,MAXIMIZE_CONVERSIONS,,,,,no
23468568174,EX | 26 | CH | SEARCH | LEAD | Kranführer,MAXIMIZE_CONVERSIONS,,,,,no
23468574954,EX | 26 | CH | SEARCH | LEAD | Montage-Schreiner,MAXIMIZE_CONVERSIONS,,,,,no
23468591016,EX | 25 | CH | SEARCH | LEAD | Zimmermann,MAXIMIZE_CONVERSIONS,,,,,no
23473547006,EX | 26 | CH | SEARCH | LEAD | Abdichter,MAXIMIZE_CONVERSIONS,,,,,no
23473551299,EX | 26 | CH | SEARCH | LEAD | Baumaschinenführer,MAXIMIZE_CONVERSIONS,,,,,no
23473587776,EX | 26 | CH | SEARCH | LEAD | Bauarbeiter,MAXIMIZE_CONVERSIONS,,,,,no
23473608146,EX | 26 | CH | SEARCH | LEAD | Grundbauer,MAXIMIZE_CONVERSIONS,,,,,no
23473611323,EX | 25 | CH | SEARCH | LEAD | Heizungsinstallateur,MAXIMIZE_CONVERSIONS,,,,,no
23473633574,EX | 26 | CH | SEARCH | LEAD | Trockenbauer,MAXIMIZE_CONVERSIONS,,,,,no
23478160315,EX | 26 | CH | SEARCH | LEAD | Metallbaukonstrukteur,MAXIMIZE_CONVERSIONS,,,,,no
23478231493,EX | 25 | CH | SEARCH | LEAD | Gerüstbauer,MAXIMIZE_CONVERSIONS,,,,,no
23478250789,EX | 26 | CH | SEARCH | LEAD | Maurer,MAXIMIZE_CONVERSIONS,,,,,no
23478262294,EX | 26 | CH | SEARCH | LEAD | Strassenbauer,MAXIMIZE_CONVERSIONS,,,,,no
23612966133,EX | 26 | CH | SEARCH | LEAD | DYN Catchall,MAXIMIZE_CONVERSIONS,,,,,no
23619183073,EX | 26 | CH | SEARCH | LEAD | Compeditor,MAXIMIZE_CONVERSIONS,,,,,no
