scope,date,cost,daily_budget,monthly_target_share
account,2026-06-19,213.90,,274.19
account,2026-06-20,127.19,,274.19
account,2026-06-21,195.03,,274.19
account,2026-06-22,501.95,,274.19
account,2026-06-23,373.47,,274.19
account,2026-06-24,284.24,,274.19
account,2026-06-25,233.37,,274.19
account,2026-06-26,213.22,,274.19
account,2026-06-27,133.30,,274.19
account,2026-06-28,232.18,,274.19
account,2026-06-29,454.82,,274.19
account,2026-06-30,278.11,,274.19
account,2026-07-01,273.83,,274.19
account,2026-07-02,260.83,,274.19
account,2026-07-03,193.05,,274.19
account,2026-07-04,143.31,,274.19
account,2026-07-05,282.37,,274.19
account,2026-07-06,427.63,,274.19
account,2026-07-07,352.22,,274.19
account,2026-07-08,293.38,,274.19
account,2026-07-09,283.57,,274.19
account,2026-07-10,162.08,,274.19
account,2026-07-11,149.40,,274.19
account,2026-07-12,348.40,,274.19
account,2026-07-13,366.46,,274.19
account,2026-07-14,298.13,,274.19
account,2026-07-15,327.07,,274.19
account,2026-07-16,301.87,,274.19
account,2026-07-17,189.69,,274.19
account,2026-07-18,151.20,,274.19
account,2026-07-19,176.16,,274.19
account,2026-07-20,430.16,,274.19
account,2026-07-21,318.49,,274.19
account,2026-07-22,310.53,,274.19
account,2026-07-23,236.68,,274.19
account,2026-07-24,173.17,,274.19
account,2026-07-25,139.46,,274.19
account,2026-07-26,268.11,,274.19
account,2026-07-27,406.00,,274.19
account,2026-07-28,284.12,,274.19
account,2026-07-29,257.74,,274.19
account,2026-07-30,177.68,,274.19
account,2026-07-31,192.77,,274.19
account,2026-08-01,166.06,,274.19
account,2026-08-02,299.91,,274.19
account,2026-08-03,439.35,,274.19
account,2026-08-04,368.03,,274.19
account,2026-08-05,308.22,,274.19
account,2026-08-06,251.43,,274.19
account,2026-08-07,197.28,,274.19
account,2026-08-08,107.88,,274.19
account,2026-08-09,222.61,,274.19
account,2026-08-10,464.84,,274.19
account,2026-08-11,371.94,,274.19
account,2026-08-12,293.02,,274.19
account,2026-08-13,264.35,,274.19
account,2026-08-14,209.61,,274.19
account,2026-08-15,221.58,,274.19
account,2026-08-16,267.86,,274.19
account,2026-08-17,422.65,,274.19
account_projection,2026-08-19,286.86,,274.19
account_projection,2026-08-20,286.86,,274.19
account_projection,2026-08-21,286.86,,274.19
account_projection,2026-08-22,286.86,,274.19
account_projection,2026-08-23,286.86,,274.19
account_projection,2026-08-24,286.86,,274.19
account_projection,2026-08-25,286.86,,274.19
account_projection,2026-08-26,286.86,,274.19
account_projection,2026-08-27,286.86,,274.19
account_projection,2026-08-28,286.86,,274.19
account_projection,2026-08-29,286.86,,274.19
account_projection,2026-08-30,286.86,,274.19
account_projection,2026-08-31,286.86,,274.19
