flag_type,check_id,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword_text,metric_name,metric_value,threshold,delta,severity,detail
IS_DECLINING,CA-D01,20768068758,EX | 25 | CH | SEARCH | LEAD | Automatikmonteur,,,,search_impression_share_90d_delta,-20.4,-10pp/90d,-20.4,High,"IS trajectory: DECLINING. Recent 30d avg: 12.4%, first 30d avg: 32.8%. 90-day decline: 20.4pp."
IS_DECLINING,CA-D01,23478231493,EX | 25 | CH | SEARCH | LEAD | Gerüstbauer,,,,search_impression_share_30d_delta,-8.7,-5pp/30d,-8.7,Medium,"IS trajectory: DECLINING. Recent 30d avg: 42.1%, prior 30d avg: 50.8%. 30-day decline: 8.7pp."
IS_LOSS_HIGH,CA-D02,1509955426,EX | 25 | CH | SEARCH | LEAD | Brand,,,,combined_is_loss,60.4,20%,,High,"Combined IS loss: 60.4%. Budget-lost: 22.7%, Rank-lost: 37.7%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,1509955426,EX | 25 | CH | SEARCH | LEAD | Brand,,,,search_budget_lost_impression_share,22.7,,,High,Budget-lost IS avg: 22.7% over 90 days.
IS_LOSS_RANK,CA-D02,1509955426,EX | 25 | CH | SEARCH | LEAD | Brand,,,,search_rank_lost_impression_share,37.7,,,High,Rank-lost IS avg: 37.7% over 90 days.
IS_LOSS_HIGH,CA-D02,6496821254,EX | 26 | CH | SEARCH | LEAD | Dachdecker,,,,combined_is_loss,85.7,20%,,High,"Combined IS loss: 85.7%. Budget-lost: 25.8%, Rank-lost: 60.0%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,6496821254,EX | 26 | CH | SEARCH | LEAD | Dachdecker,,,,search_budget_lost_impression_share,25.8,,,High,Budget-lost IS avg: 25.8% over 90 days.
IS_LOSS_RANK,CA-D02,6496821254,EX | 26 | CH | SEARCH | LEAD | Dachdecker,,,,search_rank_lost_impression_share,60.0,,,High,Rank-lost IS avg: 60.0% over 90 days.
IS_LOSS_HIGH,CA-D02,6503042592,EX | 26 | CH | SEARCH | LEAD | Maler,,,,combined_is_loss,83.0,20%,,High,"Combined IS loss: 83.0%. Budget-lost: 21.3%, Rank-lost: 61.7%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,6503042592,EX | 26 | CH | SEARCH | LEAD | Maler,,,,search_budget_lost_impression_share,21.3,,,High,Budget-lost IS avg: 21.3% over 90 days.
IS_LOSS_RANK,CA-D02,6503042592,EX | 26 | CH | SEARCH | LEAD | Maler,,,,search_rank_lost_impression_share,61.7,,,High,Rank-lost IS avg: 61.7% over 90 days.
IS_LOSS_HIGH,CA-D02,15145890855,EX | 25 | CH | SEARCH | LEAD | Montage-Elektriker,,,,combined_is_loss,86.3,20%,,High,"Combined IS loss: 86.3%. Budget-lost: 27.9%, Rank-lost: 58.4%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,15145890855,EX | 25 | CH | SEARCH | LEAD | Montage-Elektriker,,,,search_budget_lost_impression_share,27.9,,,High,Budget-lost IS avg: 27.9% over 90 days.
IS_LOSS_RANK,CA-D02,15145890855,EX | 25 | CH | SEARCH | LEAD | Montage-Elektriker,,,,search_rank_lost_impression_share,58.4,,,High,Rank-lost IS avg: 58.4% over 90 days.
IS_LOSS_HIGH,CA-D02,15210620317,EX | 25 | CH | SEARCH | LEAD | Automatiker,,,,combined_is_loss,86.7,20%,,High,"Combined IS loss: 86.7%. Budget-lost: 24.3%, Rank-lost: 62.4%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,15210620317,EX | 25 | CH | SEARCH | LEAD | Automatiker,,,,search_budget_lost_impression_share,24.3,,,High,Budget-lost IS avg: 24.3% over 90 days.
IS_LOSS_RANK,CA-D02,15210620317,EX | 25 | CH | SEARCH | LEAD | Automatiker,,,,search_rank_lost_impression_share,62.4,,,High,Rank-lost IS avg: 62.4% over 90 days.
IS_LOSS_HIGH,CA-D02,15210620323,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,,,,combined_is_loss,80.0,20%,,High,"Combined IS loss: 80.0%. Budget-lost: 22.1%, Rank-lost: 57.9%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,15210620323,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,,,,search_budget_lost_impression_share,22.1,,,High,Budget-lost IS avg: 22.1% over 90 days.
IS_LOSS_RANK,CA-D02,15210620323,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,,,,search_rank_lost_impression_share,57.9,,,High,Rank-lost IS avg: 57.9% over 90 days.
IS_LOSS_HIGH,CA-D02,15347327648,EX | 25 | CH | SEARCH | LEAD | Metallbauer,,,,combined_is_loss,83.8,20%,,High,"Combined IS loss: 83.8%. Budget-lost: 20.7%, Rank-lost: 63.1%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,15347327648,EX | 25 | CH | SEARCH | LEAD | Metallbauer,,,,search_budget_lost_impression_share,20.7,,,High,Budget-lost IS avg: 20.7% over 90 days.
IS_LOSS_RANK,CA-D02,15347327648,EX | 25 | CH | SEARCH | LEAD | Metallbauer,,,,search_rank_lost_impression_share,63.1,,,High,Rank-lost IS avg: 63.1% over 90 days.
IS_LOSS_HIGH,CA-D02,20685916051,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,,,,combined_is_loss,84.3,20%,,High,"Combined IS loss: 84.3%. Budget-lost: 11.6%, Rank-lost: 72.7%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,20685916051,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,,,,search_budget_lost_impression_share,11.6,,,Medium,Budget-lost IS avg: 11.6% over 90 days.
IS_LOSS_RANK,CA-D02,20685916051,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,,,,search_rank_lost_impression_share,72.7,,,High,Rank-lost IS avg: 72.7% over 90 days.
IS_LOSS_HIGH,CA-D02,20691357994,EX | 25 | CH | SEARCH | LEAD | Schweisser,,,,combined_is_loss,82.7,20%,,High,"Combined IS loss: 82.7%. Budget-lost: 18.2%, Rank-lost: 64.5%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,20691357994,EX | 25 | CH | SEARCH | LEAD | Schweisser,,,,search_budget_lost_impression_share,18.2,,,High,Budget-lost IS avg: 18.2% over 90 days.
IS_LOSS_RANK,CA-D02,20691357994,EX | 25 | CH | SEARCH | LEAD | Schweisser,,,,search_rank_lost_impression_share,64.5,,,High,Rank-lost IS avg: 64.5% over 90 days.
IS_LOSS_HIGH,CA-D02,20702215351,EX | 25 | CH | SEARCH | LEAD | Polymechaniker,,,,combined_is_loss,86.1,20%,,High,"Combined IS loss: 86.1%. Budget-lost: 29.0%, Rank-lost: 57.1%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,20702215351,EX | 25 | CH | SEARCH | LEAD | Polymechaniker,,,,search_budget_lost_impression_share,29.0,,,High,Budget-lost IS avg: 29.0% over 90 days.
IS_LOSS_RANK,CA-D02,20702215351,EX | 25 | CH | SEARCH | LEAD | Polymechaniker,,,,search_rank_lost_impression_share,57.1,,,High,Rank-lost IS avg: 57.1% over 90 days.
IS_LOSS_HIGH,CA-D02,20707086616,EX | 25 | CH | SEARCH | LEAD | Produktionsmechaniker,,,,combined_is_loss,89.3,20%,,High,"Combined IS loss: 89.3%. Budget-lost: 19.8%, Rank-lost: 69.5%. Dominant: RANK."
