campaign_name,day_of_week,hour,weeks_observed,weeks_high,weeks_low,weeks_dead,consistency,avg_cpa,avg_cpa_deviation_pct
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",SUNDAY,0,2,0,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",MONDAY,0,2,0,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",FRIDAY,0,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",SUNDAY,1,2,0,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",MONDAY,1,3,0,0,3,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",WEDNESDAY,1,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",SUNDAY,2,2,0,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",TUESDAY,2,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",WEDNESDAY,2,2,1,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",FRIDAY,2,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",MONDAY,3,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",TUESDAY,3,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",SUNDAY,4,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",MONDAY,4,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",SATURDAY,4,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",SUNDAY,5,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",MONDAY,5,2,0,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",TUESDAY,5,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",THURSDAY,5,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",FRIDAY,5,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",TUESDAY,6,1,1,0,0,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",THURSDAY,6,2,1,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",FRIDAY,6,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",SUNDAY,7,2,0,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",MONDAY,7,3,0,0,3,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",TUESDAY,7,2,0,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",WEDNESDAY,7,1,1,0,0,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",THURSDAY,7,3,1,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",FRIDAY,7,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",SUNDAY,8,4,0,0,4,confirmed,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",MONDAY,8,5,1,0,4,confirmed,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",TUESDAY,8,3,1,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",WEDNESDAY,8,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",THURSDAY,8,2,0,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",FRIDAY,8,3,0,0,3,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",SATURDAY,8,1,0,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",SUNDAY,9,5,1,0,4,confirmed,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",MONDAY,9,4,1,0,3,confirmed,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",TUESDAY,9,2,0,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",WEDNESDAY,9,2,0,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",THURSDAY,9,2,1,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",FRIDAY,9,3,0,1,2,insufficient,2.08,-95.4
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",SATURDAY,9,3,1,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",SUNDAY,10,4,2,0,2,unconfirmed,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",MONDAY,10,4,2,0,2,unconfirmed,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",TUESDAY,10,4,1,0,3,confirmed,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",WEDNESDAY,10,3,1,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",THURSDAY,10,3,0,0,3,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",FRIDAY,10,4,0,0,4,confirmed,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",SATURDAY,10,3,0,0,3,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",SUNDAY,11,3,1,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",MONDAY,11,4,1,0,3,confirmed,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",TUESDAY,11,3,0,0,3,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",WEDNESDAY,11,2,0,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",THURSDAY,11,3,0,0,3,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",FRIDAY,11,3,0,0,3,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",SATURDAY,11,4,1,0,3,confirmed,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",SUNDAY,12,3,1,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",MONDAY,12,4,1,0,3,confirmed,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",TUESDAY,12,3,2,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",WEDNESDAY,12,2,1,0,1,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",THURSDAY,12,3,1,0,2,insufficient,,
"EX | 26 | CH | SEARCH | LEAD | Dachdecker",FRIDAY,12,4,2,0,2,unconfirmed,,
