keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,flag_type,flag_severity,flag_detail,impressions,clicks,cost,primary_conversions,primary_cpa,effective_conversions,effective_cpa,effective_roas,break_even_cpa,break_even_roas,primary_kpi,is_core_term,quality_score,campaign_bidding_strategy_type,campaign_target_cpa,campaign_target_roas,efficiency_severity_tier,efficiency_severity_label,efficiency_severity_ratio,efficiency_impact,excess_spend,missing_conversion_value
bauwerksabdichter jobs,BROAD,EX | 26 | CH | SEARCH | LEAD | Abdichter,AG | RSA | Abdichter,23473547006,191108771999,323577835401,UNPROFITABLE,Critical,"Primary CPA $146.18 > break-even $75.00. Tier 2 material overage, excess spend $71.18. Converting (1.00) but loses money per acquisition. [HERO_SPENDER — 98.90% spend share, top money-loser in the campaign]",1044,124,146.18,1.00,146.18,1.00,146.18,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,147.81,0.00,2,material,1.95,71.18,71.18,
temporär Strassenbauer,BROAD,EX | 26 | CH | SEARCH | LEAD | Strassenbauer,AG | RSA | Strassenbauer,23478262294,193437338762,2464253372875,UNPROFITABLE,Critical,"Primary CPA $123.98 > break-even $75.00. Tier 2 material overage, excess spend $48.98. Converting (1.00) but loses money per acquisition. [HERO_SPENDER — 35.29% spend share, top money-loser in the campaign]",642,68,123.98,1.00,123.98,1.00,123.98,0.00,75.00,,cpa,false,,MAXIMIZE_CONVERSIONS,115.57,0.00,2,material,1.65,48.98,48.98,
schreiner offene stellen,PHRASE,EX | 26 | CH | SEARCH | LEAD | Montage-Schreiner,AG | RSA | Montage-Schreiner,23468574954,192099072219,297476803831,UNPROFITABLE,Critical,"Primary CPA $163.16 > break-even $75.00. Tier 2 material overage, excess spend $22.04. Converting (0.25) but loses money per acquisition. [HERO_SPENDER — 34.36% spend share, top money-loser in the campaign]",173,22,40.79,0.25,163.16,0.25,163.16,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,94.98,0.00,2,material,2.18,22.04,22.04,
sanitär jobangebote,BROAD,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,350967993775,UNPROFITABLE,Critical,"Primary CPA $105.02 > break-even $75.00. Tier 1 watch overage, excess spend $58.48. Converting (1.95) but loses money per acquisition. [HERO_SPENDER — 67.53% spend share, top money-loser in the campaign]",1221,136,204.58,1.95,105.02,1.95,105.02,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,102.77,0.00,1,watch,1.40,58.48,58.48,
gipser stellen zürich,BROAD,EX | 25 | CH | SEARCH | LEAD | Gipser,AG | RSA | Gipser,23468556621,194724430511,378070795381,UNPROFITABLE,Critical,"Primary CPA $102.55 > break-even $75.00. Tier 1 watch overage, excess spend $41.32. Converting (1.50) but loses money per acquisition. [HERO_SPENDER — 31.48% spend share, top money-loser in the campaign]",757,76,153.82,1.50,102.55,1.50,102.55,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,81.44,0.00,1,watch,1.37,41.32,41.32,
polymechaniker schweiz,BROAD,EX | 25 | CH | SEARCH | LEAD | Polymechaniker,AG | RSA | Polymechaniker,20702215351,154917284156,303240766784,UNPROFITABLE,Critical,"Primary CPA $97.04 > break-even $75.00. Tier 1 watch overage, excess spend $33.06. Converting (1.50) but loses money per acquisition. [HERO_SPENDER — 83.69% spend share, top money-loser in the campaign]",1346,86,145.56,1.50,97.04,1.50,97.04,0.00,75.00,,cpa,true,6,MAXIMIZE_CONVERSIONS,113.95,0.00,1,watch,1.29,33.06,33.06,
jobplattformen,BROAD,EX | 25 | CH | SEARCH | LEAD | Metallbauer,AG | RSA | Metallbauer,15347327648,193279372073,326507360554,UNPROFITABLE,Critical,"Primary CPA $82.37 > break-even $75.00. Tier 1 watch overage, excess spend $16.40. Converting (2.22) but loses money per acquisition. [HERO_SPENDER — 71.99% spend share, top money-loser in the campaign]",1637,133,183.23,2.22,82.37,2.22,82.37,0.00,75.00,,cpa,true,,MAXIMIZE_CONVERSIONS,79.90,0.00,1,watch,1.10,16.40,16.40,
hilfsarbeiter bau,BROAD,EX | 26 | CH | SEARCH | LEAD | Bauarbeiter,AG | RSA | Bauarbeiter,23473587776,194925305514,304700265831,UNPROFITABLE,High,"Primary CPA $4529.70 > break-even $75.00. Tier 3 severe overage, excess spend $95.10. Converting (0.02) but loses money per acquisition.",554,71,96.70,0.02,4529.70,0.02,4529.70,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,61.46,0.00,3,severe,60.40,95.10,95.10,
offene stellen strassenbau,BROAD,EX | 26 | CH | SEARCH | LEAD | Strassenbauer,AG | RSA | Strassenbauer,23478262294,193437338762,298317240901,UNPROFITABLE,High,"Primary CPA $1543.19 > break-even $75.00. Tier 3 severe overage, excess spend $72.92. Converting (0.05) but loses money per acquisition.",461,48,76.65,0.05,1543.19,0.05,1543.19,0.00,75.00,,cpa,true,5,MAXIMIZE_CONVERSIONS,115.57,0.00,3,severe,20.58,72.92,72.92,
gipser job,BROAD,EX | 25 | CH | SEARCH | LEAD | Gipser,AG | RSA | Gipser,23468556621,194724430511,303135331889,UNPROFITABLE,High,"Primary CPA $193.36 > break-even $75.00. Tier 3 severe overage, excess spend $59.18. Converting (0.50) but loses money per acquisition.",607,51,96.68,0.50,193.36,0.50,193.36,0.00,75.00,,cpa,true,3,MAXIMIZE_CONVERSIONS,81.44,0.00,3,severe,2.58,59.18,59.18,
