keyword_text,match_type,overlap_type,flag_type,flag_severity,flag_detail,location_a_campaign,location_a_adgroup,location_a_criterion_id,location_a_impressions,location_a_clicks,location_a_cost,location_a_conversions,location_b_campaign,location_b_adgroup,location_b_criterion_id,location_b_impressions,location_b_clicks,location_b_cost,location_b_conversions,negative_covered
schweisser jobs schweiz,BROAD + PHRASE,within_ad_group,MATCH_TYPE_REDUNDANCY,Low,"""schweisser jobs schweiz"" exists as BROAD, PHRASE in ad group ""STAN | HOME | BROAD""",EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,315747770388,0,0,0.00,0,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,719863578150,0,0,0.00,0,
metallbauer jobs schweiz,BROAD + PHRASE,within_ad_group,MATCH_TYPE_REDUNDANCY,Low,"""metallbauer jobs schweiz"" exists as BROAD, PHRASE in ad group ""STAN | HOME | BROAD""",EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,378269064195,0,0,0.00,0,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,1663887784483,0,0,0.00,0,
sanitärinstallateur offene stellen,EXACT + PHRASE,within_ad_group,MATCH_TYPE_REDUNDANCY,Low,"""sanitärinstallateur offene stellen"" exists as EXACT, PHRASE in ad group ""AG | RSA | Sanitärinstallateur""",EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,23399998325,1,0,0.00,0,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,327020830076,98,6,10.07,0,
sanitärinstallateur jobs,BROAD + PHRASE,within_ad_group,MATCH_TYPE_REDUNDANCY,Low,"""sanitärinstallateur jobs"" exists as BROAD, PHRASE in ad group ""AG | RSA | Sanitärinstallateur""",EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,313395867110,328,39,65.66,0,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,426119976601,7,0,0.00,0,
elektriker stellenangebote,PHRASE + EXACT,within_ad_group,MATCH_TYPE_REDUNDANCY,Low,"""elektriker stellenangebote"" exists as PHRASE, EXACT in ad group ""AG | RSA | Elektroinstallateur""",EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,1373871036,82,6,8.10,0,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,2183921581,0,0,0.00,0,
elektroinstallateur temporär,EXACT + PHRASE,within_ad_group,MATCH_TYPE_REDUNDANCY,Low,"""elektroinstallateur temporär"" exists as EXACT, PHRASE in ad group ""AG | RSA | Elektroinstallateur""",EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,335901944824,20,3,5.80,0,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,1457418674783,66,13,29.67,0.051492,
electrician jobs switzerland,EXACT + PHRASE,within_ad_group,MATCH_TYPE_REDUNDANCY,Low,"""electrician jobs switzerland"" exists as EXACT, PHRASE in ad group ""AG | RSA | Elektroinstallateur""",EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,1066748893805,4,0,0.00,0,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,1232436323910,3,0,0.00,0,
maler job schweiz,EXACT + PHRASE,within_ad_group,MATCH_TYPE_REDUNDANCY,Low,"""maler job schweiz"" exists as EXACT, PHRASE in ad group ""AG | RSA | Maler""",EX | 26 | CH | SEARCH | LEAD | Maler,AG | RSA | Maler,356733197182,13,3,3.60,0,EX | 26 | CH | SEARCH | LEAD | Maler,AG | RSA | Maler,358674935749,29,2,3.17,0,
maler gipser jobs,EXACT + PHRASE,within_ad_group,MATCH_TYPE_REDUNDANCY,Low,"""maler gipser jobs"" exists as EXACT, PHRASE in ad group ""AG | RSA | Maler""",EX | 26 | CH | SEARCH | LEAD | Maler,AG | RSA | Maler,485332785837,0,0,0.00,0,EX | 26 | CH | SEARCH | LEAD | Maler,AG | RSA | Maler,501052987324,19,3,3.42,0,
heizung job,BROAD + PHRASE,within_ad_group,MATCH_TYPE_REDUNDANCY,Low,"""heizung job"" exists as BROAD, PHRASE in ad group ""AG | RSA | Heizungsinstallateur KW Testing""",EX | 25 | CH | SEARCH | LEAD | Heizungsinstallateur,AG | RSA | Heizungsinstallateur KW Testing,303135343129,0,0,0.00,0,EX | 25 | CH | SEARCH | LEAD | Heizungsinstallateur,AG | RSA | Heizungsinstallateur KW Testing,516416236054,23,1,1.03,0,
