keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,status,approval_status,impressions,clicks,cost,blended_conversions,primary_conversions,effective_conversions,effective_conv_value,primary_cpa,effective_cpa,effective_roas,ctr,spend_share,conversion_share,quality_score,expected_ctr,ad_relevance,landing_page_exp,tier,prior_tier,tier_shifted,is_hero_spender,bidding_mode,campaign_target_cpa,campaign_target_roas,target_source,portfolio_name,break_even_cpa,break_even_roas,primary_kpi,is_core_term,patience_multiplier,pause_spend_threshold,efficiency_severity_tier,efficiency_severity_label,efficiency_severity_ratio,efficiency_impact,excess_spend,missing_conversion_value
collabo,BROAD,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,309201501,ENABLED,APPROVED,39,12,3.70,0.00,0.00,0.00,0.00,,,0.00,30.77,0.98,0.00,9,ABOVE_AVERAGE,AVERAGE,ABOVE_AVERAGE,INSUFFICIENT_DATA,ACTIVE,DEGRADED,false,SMART,15.59,0.00,fallback,,75.00,,cpa,false,1.0,150.00,,,,,,
kollabo,BROAD,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,303574768005,ENABLED,APPROVED,1178,453,130.55,11.50,11.50,11.50,0.00,11.35,11.35,0.00,38.46,34.57,47.47,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,HERO,HERO,STABLE,false,SMART,15.59,0.00,fallback,,75.00,,cpa,true,1.5,225.00,,,,,,
kolabo,BROAD,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,377200356224,ENABLED,APPROVED,99,43,7.15,1.00,1.00,1.00,0.00,7.15,7.15,0.00,43.43,1.89,4.13,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,ACTIVE,INSUFFICIENT_DATA,IMPROVED,false,SMART,15.59,0.00,fallback,,75.00,,cpa,false,1.0,150.00,,,,,,
kolaboo,EXACT,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,425940767453,ENABLED,APPROVED,0,0,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,ZOMBIE,INSUFFICIENT_DATA,DEGRADED,false,SMART,15.59,0.00,fallback,,75.00,,cpa,false,1.0,150.00,,,,,,
kollabo ag,BROAD,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,1061773055407,ENABLED,APPROVED,1064,254,189.48,8.22,8.22,8.22,0.00,23.04,23.04,0.00,23.87,50.17,33.95,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,HERO,HERO,STABLE,false,SMART,15.59,0.00,fallback,,75.00,,cpa,true,1.5,225.00,,,,,,
kollabro,EXACT,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,1596575983402,ENABLED,APPROVED,0,0,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,,,,ZOMBIE,ZOMBIE,STABLE,false,SMART,15.59,0.00,fallback,,75.00,,cpa,false,1.0,150.00,,,,,,
kollabi,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970398944,ENABLED,APPROVED,2,2,0.53,0.00,0.00,0.00,0.00,,,0.00,100.00,0.14,0.00,9,ABOVE_AVERAGE,AVERAGE,ABOVE_AVERAGE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,STABLE,false,SMART,15.59,0.00,fallback,,75.00,,cpa,false,1.0,150.00,,,,,,
kollabo ag bern,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970399024,ENABLED,APPROVED,7,2,2.23,0.00,0.00,0.00,0.00,,,0.00,28.57,0.59,0.00,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,STABLE,false,SMART,15.59,0.00,fallback,,75.00,,cpa,true,1.5,225.00,,,,,,
kollabo ag jobs,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970399184,ENABLED,APPROVED,19,10,7.96,2.00,2.00,2.00,0.00,3.98,3.98,0.00,52.63,2.11,8.26,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,ACTIVE,INSUFFICIENT_DATA,IMPROVED,false,SMART,15.59,0.00,fallback,,75.00,,cpa,true,1.5,225.00,,,,,,
kollabo ag zürich,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970399464,ENABLED,APPROVED,32,12,11.14,0.00,0.00,0.00,0.00,,,0.00,37.50,2.95,0.00,10,ABOVE_AVERAGE,ABOVE_AVERAGE,ABOVE_AVERAGE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,STABLE,false,SMART,15.59,0.00,fallback,,75.00,,cpa,true,1.5,225.00,,,,,,
