keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,flag_type,flag_severity,flag_detail,impressions,clicks,cost,quality_score,ad_relevance,expected_ctr,landing_page_exp,class,bidding_mode,bidding_strategy_type,target_source,portfolio_name
automatikmonteur jobs,BROAD,EX | 25 | CH | SEARCH | LEAD | Automatikmonteur,AG | RSA | Automatikmonteur,20768068758,154000335045,368569501197,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,851,84,119.43,7,ABOVE_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
polymechaniker schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,303240766784,HIGH_SPEND_LOW_QS,Critical,QS 4 on high-spend keyword (CHF 359.25) — CPC premium is costing materially more per click than at QS 7+.,2940,329,359.25,4,AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
polymechaniker schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,303240766784,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,2940,329,359.25,4,AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
dachdecker jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,304108247215,AR_BELOW_AVG,Medium,"Ad Relevance Below Avg. Route to /rsa-maker (copy); if Headline Test fails, surface pending keyword-restructurer brief (skill not yet built).",4,0,0.00,5,BELOW_AVG,AVG,AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
schreiner jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,312859575540,AR_BELOW_AVG,Medium,"Ad Relevance Below Avg. Route to /rsa-maker (copy); if Headline Test fails, surface pending keyword-restructurer brief (skill not yet built).",0,0,0.00,1,BELOW_AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
schreiner jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,312859575540,ECTR_BELOW_AVG,Medium,Expected CTR Below Avg. Route to /offer-maker + /rsa-maker once AR is Average+.,0,0,0.00,1,BELOW_AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
schreiner jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,312859575540,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,0,0,0.00,1,BELOW_AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
elektroniker jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,312888247900,AR_BELOW_AVG,Medium,"Ad Relevance Below Avg. Route to /rsa-maker (copy); if Headline Test fails, surface pending keyword-restructurer brief (skill not yet built).",377,33,34.12,1,BELOW_AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
elektroniker jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,312888247900,ECTR_BELOW_AVG,Medium,Expected CTR Below Avg. Route to /offer-maker + /rsa-maker once AR is Average+.,377,33,34.12,1,BELOW_AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
elektroniker jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,312888247900,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,377,33,34.12,1,BELOW_AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
welding jobs in switzerland,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,313032445606,AR_BELOW_AVG,Medium,"Ad Relevance Below Avg. Route to /rsa-maker (copy); if Headline Test fails, surface pending keyword-restructurer brief (skill not yet built).",0,0,0.00,5,BELOW_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
welding jobs in switzerland,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,313032445606,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,0,0,0.00,5,BELOW_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
schweisser jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,315747770388,AR_BELOW_AVG,Medium,"Ad Relevance Below Avg. Route to /rsa-maker (copy); if Headline Test fails, surface pending keyword-restructurer brief (skill not yet built).",8,0,0.00,5,BELOW_AVG,AVG,AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
construction work switzerland,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,342318178938,AR_BELOW_AVG,Medium,"Ad Relevance Below Avg. Route to /rsa-maker (copy); if Headline Test fails, surface pending keyword-restructurer brief (skill not yet built).",35,2,0.45,6,BELOW_AVG,ABOVE_AVG,AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
montage schweiz jobs,PHRASE,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,357042555507,AR_BELOW_AVG,Medium,"Ad Relevance Below Avg. Route to /rsa-maker (copy); if Headline Test fails, surface pending keyword-restructurer brief (skill not yet built).",0,0,0.00,6,BELOW_AVG,ABOVE_AVG,AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
automatiker jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,449720661295,AR_BELOW_AVG,Medium,"Ad Relevance Below Avg. Route to /rsa-maker (copy); if Headline Test fails, surface pending keyword-restructurer brief (skill not yet built).",2,1,2.75,5,BELOW_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
automatiker jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,449720661295,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,2,1,2.75,5,BELOW_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
maurer schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,506114805752,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,0,0,0.00,4,AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
trockenbauer jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,576617117712,AR_BELOW_AVG,Medium,"Ad Relevance Below Avg. Route to /rsa-maker (copy); if Headline Test fails, surface pending keyword-restructurer brief (skill not yet built).",1,0,0.00,3,BELOW_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
trockenbauer jobs schweiz,BROAD,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,576617117712,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,1,0,0.00,3,BELOW_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
schweisser jobs schweiz,PHRASE,EX | DE | DACH | SEARCH | LEAD | UMLAND TEST,STAN | HOME | BROAD,20685916051,154386686829,719863578150,AR_BELOW_AVG,Medium,"Ad Relevance Below Avg. Route to /rsa-maker (copy); if Headline Test fails, surface pending keyword-restructurer brief (skill not yet built).",0,0,0.00,5,BELOW_AVG,AVG,AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
polymechaniker stellen,PHRASE,EX | 25 | CH | SEARCH | LEAD | Polymechaniker,AG | RSA | Polymechaniker,20702215351,154917284156,306903066904,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,16,2,2.97,5,ABOVE_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
schweißer arbeit,BROAD,EX | 25 | CH | SEARCH | LEAD | Schweisser,AG | RSA | Schweisser,20691357994,155384660552,296631707400,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,1325,123,165.20,5,ABOVE_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
schweisser job schweiz,BROAD,EX | 25 | CH | SEARCH | LEAD | Schweisser,AG | RSA | Schweisser,20691357994,155384660552,315747770348,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,477,45,54.41,6,AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
