keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,final_urls,impressions,clicks,cost,avg_cpc,conversions,conversions_value,quality_score,ad_relevance,expected_ctr,landing_page_exp,tier,class,dominant_limiting_component,below_avg_components,is_high_spend,priority_score,search_is,lost_is_rank,search_top_is,bidding_strategy_type,bidding_mode,target_source,portfolio_name
collabo,BROAD,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,309201501,,36,11,2.59,0.24,0.00,0.00,9,AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,36,56.86,33.33,45.10,MAXIMIZE_CONVERSIONS,SMART,none,
kollabo,BROAD,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,303574768005,,1186,449,124.37,0.28,10.50,0.00,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,QS_OK,BRANDED,NONE,,true,0,38.92,34.96,34.78,MAXIMIZE_CONVERSIONS,SMART,none,
kolabo,BROAD,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,377200356224,,84,35,6.29,0.18,1.00,0.00,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,91.43,1.43,84.51,MAXIMIZE_CONVERSIONS,SMART,none,
kolaboo,EXACT,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,425940767453,,0,0,0.00,,0.00,0.00,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,,,,MAXIMIZE_CONVERSIONS,SMART,none,
kollabo ag,BROAD,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,1061773055407,,1100,280,207.07,0.74,8.22,0.00,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,QS_OK,BRANDED,NONE,,true,0,25.83,45.32,21.54,MAXIMIZE_CONVERSIONS,SMART,none,
kollabro,EXACT,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,1596575983402,,0,0,0.00,,0.00,0.00,,NULL,NULL,NULL,QS_NULL,BRANDED,NONE,,false,0,,,,MAXIMIZE_CONVERSIONS,SMART,none,
kollabi,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970398944,,6,3,0.69,0.23,0.00,0.00,9,AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,6,100.00,0.00,100.00,MAXIMIZE_CONVERSIONS,SMART,none,
kollabo ag bern,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970399024,,3,1,0.36,0.36,0.00,0.00,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,100.00,0.00,100.00,MAXIMIZE_CONVERSIONS,SMART,none,
kollabo ag jobs,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970399184,,25,12,8.63,0.72,2.00,0.00,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,76.00,8.00,66.67,MAXIMIZE_CONVERSIONS,SMART,none,
kollabo ag zürich,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970399464,,27,11,9.95,0.90,0.00,0.00,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,64.52,19.35,51.61,MAXIMIZE_CONVERSIONS,SMART,none,
kollabo basel,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970399664,,12,3,2.74,0.91,0.00,0.00,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,58.82,17.65,38.89,MAXIMIZE_CONVERSIONS,SMART,none,
kollabo ch,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970399744,,39,12,4.58,0.38,0.00,0.00,9,AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,39,66.67,9.52,52.27,MAXIMIZE_CONVERSIONS,SMART,none,
kollabo jobs,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970399984,,30,11,2.91,0.26,0.25,0.00,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,64.71,23.53,66.67,MAXIMIZE_CONVERSIONS,SMART,none,
kollabo zürich,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970400624,,16,7,5.87,0.84,0.00,0.00,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,86.67,13.33,73.33,MAXIMIZE_CONVERSIONS,SMART,none,
kollabo ag winterthur,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2172567691666,,1,1,0.46,0.46,0.00,0.00,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,100.00,0.00,100.00,MAXIMIZE_CONVERSIONS,SMART,none,
kollabo ag basel,BROAD,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2384214352932,,21,10,6.41,0.64,1.00,0.00,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,65.38,19.23,57.69,MAXIMIZE_CONVERSIONS,SMART,none,
kolabro,EXACT,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2436359465708,,0,0,0.00,,0.00,0.00,8,ABOVE_AVG,AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,,,,MAXIMIZE_CONVERSIONS,SMART,none,
kollabo login,EXACT,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2465285297898,,2,1,0.02,0.02,0.00,0.00,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,50.00,0.00,50.00,MAXIMIZE_CONVERSIONS,SMART,none,
