keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,weeks_of_data,first_qs,last_qs,qs_change,qs_slope_per_week,qs_trajectory,ar_first,ar_last,ar_trajectory,ectr_first,ectr_last,ectr_trajectory,lp_first,lp_last,lp_trajectory,total_impressions,changelog_events_near
kollabo,BROAD,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,303574768005,27,10,10,0.00,0.000,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,6753,16
kolabo,BROAD,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,377200356224,22,9,10,1.00,0.068,IMPROVING,3,3,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,507,11
kollabo ag,BROAD,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,1061773055407,27,9,10,1.00,0.034,IMPROVING,3,3,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,4895,16
kollabo login,EXACT,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2465285297898,0,,,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,18,
kolabro,EXACT,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2436359465708,0,,,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,3,
collabo,BROAD,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,309201501,6,9,9,0.00,0.000,STABLE,3,3,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,78,5
kollabi,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970398944,0,,,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,17,
kollabo ag bern,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970399024,0,,,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,24,
kollabo ag jobs,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970399184,0,,,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,56,
kollabo ag zürich,PHRASE,EX | 25 | CH | SEARCH | LEAD | Brand,Kollabo Name,1509955426,57909492917,2170970399464,2,10,10,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,94,
