last_change_date_time,resource_type,resource_status,resource,campaign,ad_group
2026-08-06 16:34:36.249183,CAMPAIGN,CHANGED,customers/3599116618/campaigns/20289440565,customers/3599116618/campaigns/20289440565,
2026-08-06 16:05:46.342543,CAMPAIGN,CHANGED,customers/3599116618/campaigns/20369175508,customers/3599116618/campaigns/20369175508,
2026-08-06 16:03:13.286735,CAMPAIGN,CHANGED,customers/3599116618/campaigns/21127105111,customers/3599116618/campaigns/21127105111,
2026-08-06 15:53:54.215583,CAMPAIGN,CHANGED,customers/3599116618/campaigns/21137012770,customers/3599116618/campaigns/21137012770,
2026-08-06 15:50:29.474015,CAMPAIGN,CHANGED,customers/3599116618/campaigns/20311845501,customers/3599116618/campaigns/20311845501,
2026-08-06 15:41:11.803775,AD_GROUP_CRITERION,CHANGED,customers/3599116618/adGroupCriteria/152816606829~298883683859,customers/3599116618/campaigns/20520282363,customers/3599116618/adGroups/152816606829
2026-08-06 15:39:20.764799,CAMPAIGN,CHANGED,customers/3599116618/campaigns/20521524704,customers/3599116618/campaigns/20521524704,
2026-08-06 15:38:40.783151,CAMPAIGN,CHANGED,customers/3599116618/campaigns/19764299214,customers/3599116618/campaigns/19764299214,
2026-08-06 15:10:14.744447,AD_GROUP_CRITERION,CHANGED,customers/3599116618/adGroupCriteria/151062191217~1748911514357,customers/3599116618/campaigns/20530080445,customers/3599116618/adGroups/151062191217
2026-08-06 14:59:04.810847,CAMPAIGN,CHANGED,customers/3599116618/campaigns/17655205884,customers/3599116618/campaigns/17655205884,
2026-08-06 14:59:04.810847,CAMPAIGN,CHANGED,customers/3599116618/campaigns/20520677694,customers/3599116618/campaigns/20520677694,
2026-08-06 14:48:39.914415,CAMPAIGN,CHANGED,customers/3599116618/campaigns/18788654586,customers/3599116618/campaigns/18788654586,
2026-08-06 11:59:02.179007,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867676~815959512458,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867676
2026-08-06 11:59:02.179007,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867836~815959512434,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867836
2026-08-06 11:59:01.979327,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867836~815852183235,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867836
2026-08-06 11:59:01.483919,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/191608756741~801878291737,customers/3599116618/campaigns/23647458423,customers/3599116618/adGroups/191608756741
2026-08-06 11:59:01.483919,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/195360456899~804259880156,customers/3599116618/campaigns/23647458423,customers/3599116618/adGroups/195360456899
2026-08-06 11:59:01.483919,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/195360456899~805701314312,customers/3599116618/campaigns/23647458423,customers/3599116618/adGroups/195360456899
2026-08-06 11:59:00.886015,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/189694296709~787898525886,customers/3599116618/campaigns/23293840553,customers/3599116618/adGroups/189694296709
2026-08-06 11:59:00.886015,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/189439742810~800319312142,customers/3599116618/campaigns/23647458423,customers/3599116618/adGroups/189439742810
2026-08-06 11:59:00.886015,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/194910338075~800480239349,customers/3599116618/campaigns/23647458423,customers/3599116618/adGroups/194910338075
2026-08-06 11:59:00.487103,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/181957561130~778374569172,customers/3599116618/campaigns/23114698978,customers/3599116618/adGroups/181957561130
2026-08-06 11:59:00.487103,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/190607842687~778946934640,customers/3599116618/campaigns/23125747679,customers/3599116618/adGroups/190607842687
2026-08-06 11:59:00.487103,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/190607842767~779037443012,customers/3599116618/campaigns/23125747679,customers/3599116618/adGroups/190607842767
2026-08-06 11:59:00.487103,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/190607842927~778911721890,customers/3599116618/campaigns/23125747679,customers/3599116618/adGroups/190607842927
2026-08-06 11:59:00.487103,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/190607843007~778911652065,customers/3599116618/campaigns/23125747679,customers/3599116618/adGroups/190607843007
2026-08-06 11:59:00.487103,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/190607843007~778911708861,customers/3599116618/campaigns/23125747679,customers/3599116618/adGroups/190607843007
2026-08-06 11:59:00.487103,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/190607843007~778911722835,customers/3599116618/campaigns/23125747679,customers/3599116618/adGroups/190607843007
2026-08-06 11:59:00.487103,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/188006339894~785885578530,customers/3599116618/campaigns/23288843748,customers/3599116618/adGroups/188006339894
2026-08-06 11:58:59.866319,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/181388156310~743871693301,customers/3599116618/campaigns/22410839902,customers/3599116618/adGroups/181388156310
2026-08-06 11:58:59.866319,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/181388156310~743959850765,customers/3599116618/campaigns/22410839902,customers/3599116618/adGroups/181388156310
2026-08-06 11:58:59.866319,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/181388156390~743850399273,customers/3599116618/campaigns/22410839902,customers/3599116618/adGroups/181388156390
2026-08-06 11:58:59.866319,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/181388156390~743871825241,customers/3599116618/campaigns/22410839902,customers/3599116618/adGroups/181388156390
2026-08-06 09:48:37.966159,AD_GROUP_CRITERION,CHANGED,customers/3599116618/adGroupCriteria/152816606829~1933959631418,customers/3599116618/campaigns/20520282363,customers/3599116618/adGroups/152816606829
2026-08-06 09:48:37.966159,AD_GROUP_CRITERION,CHANGED,customers/3599116618/adGroupCriteria/152816606829~298951286375,customers/3599116618/campaigns/20520282363,customers/3599116618/adGroups/152816606829
2026-08-06 09:47:53.474175,CAMPAIGN,CHANGED,customers/3599116618/campaigns/20520258918,customers/3599116618/campaigns/20520258918,
2026-08-06 08:16:11.929071,CAMPAIGN_BUDGET,CHANGED,customers/3599116618/campaigns/19764299214,customers/3599116618/campaigns/19764299214,
2026-08-06 03:23:46.792607,CAMPAIGN,CHANGED,customers/3599116618/campaigns/20520282363,customers/3599116618/campaigns/20520282363,
2026-08-05 20:23:16.960769,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/142609568599~634104641924,customers/3599116618/campaigns/17820068572,customers/3599116618/adGroups/142609568599
2026-08-05 20:23:16.960769,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/142609568599~663126757863,customers/3599116618/campaigns/17820068572,customers/3599116618/adGroups/142609568599
2026-08-05 20:23:16.960769,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/142609568599~663163709482,customers/3599116618/campaigns/17820068572,customers/3599116618/adGroups/142609568599
2026-08-05 20:23:16.960769,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/158916156691~673071150178,customers/3599116618/campaigns/20520258918,customers/3599116618/adGroups/158916156691
2026-08-05 20:23:16.960769,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/152816606829~673129726202,customers/3599116618/campaigns/20520282363,customers/3599116618/adGroups/152816606829
2026-08-05 20:23:16.960769,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/154062129540~673139519483,customers/3599116618/campaigns/20520677694,customers/3599116618/adGroups/154062129540
2026-08-05 20:23:16.960769,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/151062191217~673070315644,customers/3599116618/campaigns/20530080445,customers/3599116618/adGroups/151062191217
2026-08-05 18:44:38.107823,CAMPAIGN_BUDGET,CHANGED,customers/3599116618/campaigns/23647458423,customers/3599116618/campaigns/23647458423,
2026-08-05 09:49:57.324767,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867636~815959520615,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867636
2026-08-05 09:49:57.324767,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867676~815959538831,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867676
2026-08-05 09:49:57.086847,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867676~815959512452,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867676
2026-08-05 09:49:55.648799,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867596~815959512377,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867596
2026-08-05 09:49:55.648799,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867636~815959512428,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867636
2026-08-05 09:49:55.648799,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867636~815959512431,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867636
2026-08-05 09:49:55.648799,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867676~815959512446,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867676
2026-08-05 09:49:55.648799,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867836~815959512449,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867836
2026-08-05 09:49:55.406031,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867636~815886210397,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867636
2026-08-05 09:49:55.406031,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867676~815886210139,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867676
2026-08-05 09:49:55.406031,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867676~815886210406,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867676
2026-08-05 09:49:55.406031,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867676~815886210430,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867676
2026-08-05 09:49:55.406031,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867676~815959511513,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867676
2026-08-05 09:49:55.406031,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867676~815959511711,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867676
2026-08-05 09:49:55.406031,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867836~815886210403,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867836
2026-08-05 09:49:55.163231,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867596~815883443929,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867596
2026-08-05 09:49:55.163231,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867596~815886094063,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867596
2026-08-05 09:49:55.163231,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867596~815886195973,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867596
2026-08-05 09:49:55.163231,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867636~815886195961,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867636
2026-08-05 09:49:55.163231,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867636~815886195979,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867636
2026-08-05 09:49:55.163231,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867676~815886195967,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867676
2026-08-05 09:49:55.163231,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/198241867836~815852183241,customers/3599116618/campaigns/24013643722,customers/3599116618/adGroups/198241867836
2026-08-05 09:49:54.913295,AD_GROUP_AD,CHANGED,customers/3599116618/adGroupAds/189439742810~800284924050,customers/3599116618/campaigns/23647458423,customers/3599116618/adGroups/189439742810
