change_event.change_date_time,change_event.user_email,change_event.change_resource_type,change_event.resource_change_operation,change_event.client_type,campaign.name,ad_group.name,change_event.change_resource_name,change_event.old_resource,change_event.new_resource,ad_group.resource_name,campaign.resource_name,change_event.changed_fields.paths,change_event.resource_name
2026-07-31 14:40:11.092037,ads@jonas-makki.com,AD_GROUP_CRITERION,CREATE,GOOGLE_ADS_API,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,customers/3599116618/adGroupCriteria/142609568599~583142500232,"{""ad_group_criterion"":{}}","{""ad_group_criterion"":{""resource_name"":""customers/3599116618/adGroupCriteria/142609568599~583142500232"",""keyword"":{""match_type"":2,""text"":""sinner hoodie""},""criterion_id"":583142500232,""ad_group"":""customers/3599116618/adGroups/142609568599"",""negative"":false}}",customers/3599116618/adGroups/142609568599,customers/3599116618/campaigns/17820068572,ad_group | criterion_id | keyword.match_type | keyword.text | negative | resource_name,customers/3599116618/changeEvents/1785501611092037~0~0
2026-07-31 14:35:13.647732,ads@jonas-makki.com,AD_GROUP_CRITERION,CREATE,GOOGLE_ADS_API,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,customers/3599116618/adGroupCriteria/142609568599~749619809,"{""ad_group_criterion"":{}}","{""ad_group_criterion"":{""resource_name"":""customers/3599116618/adGroupCriteria/142609568599~749619809"",""keyword"":{""match_type"":2,""text"":""mens hoodies""},""criterion_id"":749619809,""ad_group"":""customers/3599116618/adGroups/142609568599"",""negative"":false}}",customers/3599116618/adGroups/142609568599,customers/3599116618/campaigns/17820068572,ad_group | criterion_id | keyword.match_type | keyword.text | negative | resource_name,customers/3599116618/changeEvents/1785501313647732~0~0
2026-07-24 13:47:03.137327,exmachina.agency@gmail.com,CAMPAIGN_BUDGET,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,,customers/3599116618/campaignBudgets/11274223183,"{""campaign_budget"":{""amount_micros"":185010000}}","{""campaign_budget"":{""amount_micros"":240000000}}",,customers/3599116618/campaigns/17820068572,amount_micros,customers/3599116618/changeEvents/1784893623137327~0~0
2026-07-24 13:46:23.658154,exmachina.agency@gmail.com,CAMPAIGN_BUDGET,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I SHOPPING I FOKUSPRODUKTE,,customers/3599116618/campaignBudgets/11622136055,"{""campaign_budget"":{""amount_micros"":850000000}}","{""campaign_budget"":{""amount_micros"":1150000000}}",,customers/3599116618/campaigns/18399515515,amount_micros,customers/3599116618/changeEvents/1784893583658154~0~0
2026-07-24 13:45:11.889522,exmachina.agency@gmail.com,CAMPAIGN,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,,customers/3599116618/campaigns/17820068572,"{""campaign"":{""maximize_conversion_value"":{""target_roas"":5.1915}}}","{""campaign"":{""maximize_conversion_value"":{""target_roas"":5.191502863646795}}}",,customers/3599116618/campaigns/17820068572,maximize_conversion_value.target_roas,customers/3599116618/changeEvents/1784893511889522~0~0
2026-07-24 13:45:07.072658,exmachina.agency@gmail.com,CAMPAIGN,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I SHOPPING I FOKUSPRODUKTE,,customers/3599116618/campaigns/18399515515,"{""campaign"":{""target_roas"":{""target_roas"":3.5}}}","{""campaign"":{""target_roas"":{""target_roas"":3.5301}}}",,customers/3599116618/campaigns/18399515515,target_roas.target_roas,customers/3599116618/changeEvents/1784893507072658~0~0
2026-07-24 13:45:00.581016,exmachina.agency@gmail.com,CAMPAIGN,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,,customers/3599116618/campaigns/17820068572,"{""campaign"":{""maximize_conversion_value"":{""target_roas"":3.5}}}","{""campaign"":{""maximize_conversion_value"":{""target_roas"":5.1915}}}",,customers/3599116618/campaigns/17820068572,maximize_conversion_value.target_roas,customers/3599116618/changeEvents/1784893500581016~0~0
2026-07-24 13:44:04.727951,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I SHOPPING I FOKUSPRODUKTE,Sommer Fokus,customers/3599116618/adGroups/187585751011,"{""ad_group"":{}}","{""ad_group"":{""target_roas"":4.5}}",customers/3599116618/adGroups/187585751011,customers/3599116618/campaigns/18399515515,target_roas,customers/3599116618/changeEvents/1784893444727951~0~0
2026-07-24 13:43:53.099167,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I SHOPPING I FOKUSPRODUKTE,Hoodies Push,customers/3599116618/adGroups/200743447128,"{""ad_group"":{""status"":2}}","{""ad_group"":{""status"":3}}",customers/3599116618/adGroups/200743447128,customers/3599116618/campaigns/18399515515,status,customers/3599116618/changeEvents/1784893433099167~0~0
2026-07-24 13:43:36.390838,exmachina.agency@gmail.com,CAMPAIGN_BUDGET,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I SHOPPING I FOKUSPRODUKTE,,customers/3599116618/campaignBudgets/11622136055,"{""campaign_budget"":{""amount_micros"":550000000}}","{""campaign_budget"":{""amount_micros"":850000000}}",,customers/3599116618/campaigns/18399515515,amount_micros,customers/3599116618/changeEvents/1784893416390838~0~0
2026-07-23 11:15:10.612415,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I WW I YOU I BROAD TESTING I INFLUENCER & ANIM.C. #2,WW I BROAD I TESTING I INFLU CONT,customers/3599116618/adGroups/181388156310,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/181388156310,customers/3599116618/campaigns/22410839902,tracking_url_template,customers/3599116618/changeEvents/1784798110612415~0~0
2026-07-23 11:15:07.976559,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I WW I YOU I BROAD TESTING I INFLUENCER & ANIM.C. #3,WW I BROAD I TESTING I INFLU CONT,customers/3599116618/adGroups/190607842727,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/190607842727,customers/3599116618/campaigns/23125747679,tracking_url_template,customers/3599116618/changeEvents/1784798107976559~0~0
2026-07-23 11:15:05.084575,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I SHOPPING I FOKUSPRODUKTE,winter push,customers/3599116618/adGroups/192532956896,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/192532956896,customers/3599116618/campaigns/18399515515,tracking_url_template,customers/3599116618/changeEvents/1784798105084575~0~0
2026-07-23 11:15:00.455743,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX | USA | SEARCH | BRAND,USA | STAN | BRAND,customers/3599116618/adGroups/158916156691,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/158916156691,customers/3599116618/campaigns/20520258918,tracking_url_template,customers/3599116618/changeEvents/1784798100455743~0~0
2026-07-23 11:14:57.274559,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,customers/3599116618/adGroups/152816606829,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/152816606829,customers/3599116618/campaigns/20520282363,tracking_url_template,customers/3599116618/changeEvents/1784798097274559~0~0
2026-07-23 11:14:50.457439,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I KONKURRENZ I HOME,customers/3599116618/adGroups/149134189166,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}&utm_source=google&utm_medium=search&utm_campaign=EXIENIUSITOFIBROADIPURIT-CPAIISTANIKONKURRENZIHOME""}}","{""ad_group"":{}}",customers/3599116618/adGroups/149134189166,customers/3599116618/campaigns/17820068572,tracking_url_template,customers/3599116618/changeEvents/1784798090457439~0~0
2026-07-23 11:14:43.371455,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I SHOPPING I PUR I T-ROAS I NEAR INDEX,STAN I BROAD I LOW & TOP,customers/3599116618/adGroups/148074990193,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/148074990193,customers/3599116618/campaigns/19764299214,tracking_url_template,customers/3599116618/changeEvents/1784798083371455~0~0
2026-07-23 11:14:40.391727,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,customers/3599116618/adGroups/142609568599,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/142609568599,customers/3599116618/campaigns/17820068572,tracking_url_template,customers/3599116618/changeEvents/1784798080391727~0~0
