campaign_id,campaign,strategy,last_strategy_change,last_target_change,days_since_strategy,days_since_target,in_learning
17655205884,JM I DSA I FC'S I CAT'S,MAXIMIZE_CONVERSION_VALUE,,,,,no
17820068572,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,MAXIMIZE_CONVERSION_VALUE,,,,,no
18399515515,EX I SHOPPING I FOKUSPRODUKTE,TARGET_ROAS,,,,,no
18788654586,EX I WW I PMAX I SCALING I BROAD,MAXIMIZE_CONVERSION_VALUE,,,,,no
19764299214,EX I SHOPPING I PUR I T-ROAS I NEAR INDEX,TARGET_ROAS,,,,,no
20289440565,EX I SKANDI I PMAX I TESTING I PROSPECTING,MAXIMIZE_CONVERSION_VALUE,,,,,no
20311845501,EX I FRA I PMAX I TESTING I BROAD,MAXIMIZE_CONVERSION_VALUE,,,,,no
20369175508,EX I WW I PMAX I SCALING I FEED ONLY I OVER-INDEX + INDEX + NEAR-INDEX,MAXIMIZE_CONVERSION_VALUE,,,,,no
20520258918,EX | USA | SEARCH | BRAND,MAXIMIZE_CONVERSION_VALUE,,,,,no
20520282363,EX | SKANDI | SEARCH | BRAND,TARGET_IMPRESSION_SHARE,,,,,no
20520677694,EX | DE | SEARCH | BRAND,MAXIMIZE_CONVERSION_VALUE,,,,,no
20521524704,EX I USA I PMAX I TESTING I BROAD,MAXIMIZE_CONVERSION_VALUE,,,,,no
20530080445,EX | FRA | SEARCH | BRAND,TARGET_IMPRESSION_SHARE,,,,,no
21127105111,EX I WW I PMAX I PROSPECTING I BROAD,MAXIMIZE_CONVERSION_VALUE,,,,,no
21137012770,EX I WW I PMAX I SCALING I FEED ONLY I PROSPECTING,MAXIMIZE_CONVERSION_VALUE,,,,,no
