scope,date,cost,daily_budget,monthly_target_share
account,2026-06-07,2044.81,,1048.39
account,2026-06-08,1922.62,,1048.39
account,2026-06-09,1967.05,,1048.39
account,2026-06-10,2113.92,,1048.39
account,2026-06-11,2096.09,,1048.39
account,2026-06-12,2270.54,,1048.39
account,2026-06-13,2707.25,,1048.39
account,2026-06-14,2569.44,,1048.39
account,2026-06-15,2734.34,,1048.39
account,2026-06-16,2074.06,,1048.39
account,2026-06-17,2022.13,,1048.39
account,2026-06-18,1796.29,,1048.39
account,2026-06-19,1840.03,,1048.39
account,2026-06-20,1829.51,,1048.39
account,2026-06-21,1925.99,,1048.39
account,2026-06-22,2047.91,,1048.39
account,2026-06-23,1799.59,,1048.39
account,2026-06-24,1829.50,,1048.39
account,2026-06-25,1573.12,,1048.39
account,2026-06-26,2392.26,,1048.39
account,2026-06-27,2857.59,,1048.39
account,2026-06-28,3005.36,,1048.39
account,2026-06-29,3187.70,,1048.39
account,2026-06-30,1880.26,,1048.39
account,2026-07-01,1722.58,,1048.39
account,2026-07-02,1833.11,,1048.39
account,2026-07-03,1726.35,,1048.39
account,2026-07-04,1717.02,,1048.39
account,2026-07-05,1753.03,,1048.39
account,2026-07-06,1937.45,,1048.39
account,2026-07-07,1860.82,,1048.39
account,2026-07-08,1735.68,,1048.39
account,2026-07-09,1470.18,,1048.39
account,2026-07-10,640.18,,1048.39
account,2026-07-11,611.79,,1048.39
account,2026-07-12,703.98,,1048.39
account,2026-07-13,644.31,,1048.39
account,2026-07-14,605.24,,1048.39
account,2026-07-15,461.75,,1048.39
account,2026-07-16,488.56,,1048.39
account,2026-07-17,482.63,,1048.39
account,2026-07-18,536.67,,1048.39
account,2026-07-19,684.48,,1048.39
account,2026-07-20,605.96,,1048.39
account,2026-07-21,656.00,,1048.39
account,2026-07-22,683.25,,1048.39
account,2026-07-23,815.96,,1048.39
account,2026-07-24,691.91,,1048.39
account,2026-07-25,583.71,,1048.39
account,2026-07-26,892.90,,1048.39
account,2026-07-27,672.75,,1048.39
account,2026-07-28,665.94,,1048.39
account,2026-07-29,712.47,,1048.39
account,2026-07-30,756.36,,1048.39
account,2026-07-31,1476.25,,1048.39
account,2026-08-01,2377.94,,1048.39
account,2026-08-02,2947.59,,1048.39
account,2026-08-03,3159.55,,1048.39
account,2026-08-04,3274.09,,1048.39
account,2026-08-05,2530.41,,1048.39
account_projection,2026-08-07,2857.92,,1048.39
account_projection,2026-08-08,2857.92,,1048.39
account_projection,2026-08-09,2857.92,,1048.39
account_projection,2026-08-10,2857.92,,1048.39
account_projection,2026-08-11,2857.92,,1048.39
account_projection,2026-08-12,2857.92,,1048.39
account_projection,2026-08-13,2857.92,,1048.39
account_projection,2026-08-14,2857.92,,1048.39
account_projection,2026-08-15,2857.92,,1048.39
account_projection,2026-08-16,2857.92,,1048.39
account_projection,2026-08-17,2857.92,,1048.39
account_projection,2026-08-18,2857.92,,1048.39
account_projection,2026-08-19,2857.92,,1048.39
account_projection,2026-08-20,2857.92,,1048.39
account_projection,2026-08-21,2857.92,,1048.39
account_projection,2026-08-22,2857.92,,1048.39
account_projection,2026-08-23,2857.92,,1048.39
account_projection,2026-08-24,2857.92,,1048.39
account_projection,2026-08-25,2857.92,,1048.39
account_projection,2026-08-26,2857.92,,1048.39
account_projection,2026-08-27,2857.92,,1048.39
account_projection,2026-08-28,2857.92,,1048.39
account_projection,2026-08-29,2857.92,,1048.39
account_projection,2026-08-30,2857.92,,1048.39
account_projection,2026-08-31,2857.92,,1048.39
