flag_type,check_id,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword_text,metric_name,metric_value,threshold,delta,severity,detail
IS_LOSS_HIGH,CA-D02,17655205884,JM I DSA I FC'S I CAT'S,,,,combined_is_loss,90.0,20%,,High,"Combined IS loss: 90.0%. Budget-lost: 0.0%, Rank-lost: 90.0%. Dominant: RANK."
IS_LOSS_RANK,CA-D02,17655205884,JM I DSA I FC'S I CAT'S,,,,search_rank_lost_impression_share,90.0,,,High,Rank-lost IS avg: 90.0% over 90 days.
IS_LOSS_HIGH,CA-D02,17820068572,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,,,,combined_is_loss,92.6,20%,,High,"Combined IS loss: 92.6%. Budget-lost: 28.4%, Rank-lost: 64.2%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,17820068572,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,,,,search_budget_lost_impression_share,28.4,,,High,Budget-lost IS avg: 28.4% over 90 days.
IS_LOSS_RANK,CA-D02,17820068572,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,,,,search_rank_lost_impression_share,64.2,,,High,Rank-lost IS avg: 64.2% over 90 days.
IS_LOSS_HIGH,CA-D02,18399515515,EX I SHOPPING I FOKUSPRODUKTE,,,,combined_is_loss,50.9,20%,,High,"Combined IS loss: 50.9%. Budget-lost: 19.8%, Rank-lost: 31.1%. Dominant: RANK."
IS_LOSS_BUDGET,CA-D02,18399515515,EX I SHOPPING I FOKUSPRODUKTE,,,,search_budget_lost_impression_share,19.8,,,High,Budget-lost IS avg: 19.8% over 90 days.
IS_LOSS_RANK,CA-D02,18399515515,EX I SHOPPING I FOKUSPRODUKTE,,,,search_rank_lost_impression_share,31.1,,,High,Rank-lost IS avg: 31.1% over 90 days.
IS_LOSS_HIGH,CA-D02,19764299214,EX I SHOPPING I PUR I T-ROAS I NEAR INDEX,,,,combined_is_loss,56.5,20%,,High,"Combined IS loss: 56.5%. Budget-lost: 0.0%, Rank-lost: 56.5%. Dominant: RANK."
IS_LOSS_RANK,CA-D02,19764299214,EX I SHOPPING I PUR I T-ROAS I NEAR INDEX,,,,search_rank_lost_impression_share,56.5,,,High,Rank-lost IS avg: 56.5% over 71 days.
IS_LOSS_RANK,CA-D02,20520258918,EX | USA | SEARCH | BRAND,,,,search_rank_lost_impression_share,15.8,,,High,Rank-lost IS avg: 15.8% over 90 days.
IS_LOSS_RANK,CA-D02,20520282363,EX | SKANDI | SEARCH | BRAND,,,,search_rank_lost_impression_share,8.5,,,Medium,Rank-lost IS avg: 8.5% over 90 days.
