location,location_type,current_clicks,current_conversions,current_cpa,prior_year_clicks,prior_year_conversions,prior_year_cpa,yoy_deviation_pct,verdict
2036,LOCATION_OF_PRESENCE,2820,54.613267,65.36,639,7,60.84,7.4,PASS
2040,LOCATION_OF_PRESENCE,284,7,45.65,531,12.333334,37.36,22.2,PASS
2124,LOCATION_OF_PRESENCE,1288,22.996765,59.90,493,4,76.17,-21.4,PASS
2246,LOCATION_OF_PRESENCE,1661,99.18136100000001,10.54,1623,69.56894800000002,8.11,29.9,PASS
2250,LOCATION_OF_PRESENCE,4189,336.403308,2.71,5899,428.351385,5.72,-52.7,WARN
2276,LOCATION_OF_PRESENCE,16291,1412.700462,8.85,12805,1274.1742779999993,4.99,77.2,WARN
2380,LOCATION_OF_PRESENCE,1224,24,48.48,1675,41.770355,15.81,206.6,WARN
2528,LOCATION_OF_PRESENCE,574,16,49.82,1239,31.645205,21.49,131.8,WARN
2616,LOCATION_OF_PRESENCE,723,12,33.09,742,4.4,51.53,-35.8,WARN
2724,LOCATION_OF_PRESENCE,486,4,87.67,2722,129.33123700000002,14.20,517.2,WARN
2752,LOCATION_OF_PRESENCE,684,46.42667,9.54,1191,29.504731000000003,16.07,-40.6,WARN
2826,LOCATION_OF_PRESENCE,1282,37.975944,45.05,2319,96.808971,14.95,201.3,WARN
2840,LOCATION_OF_PRESENCE,8142,546.753013,11.32,10888,265.82387400000005,22.69,-50.1,WARN
2756,LOCATION_OF_PRESENCE,447,14.999999999999996,63.57,424,14,26.73,137.8,WARN
2056,LOCATION_OF_PRESENCE,494,14.021065,36.28,465,29.778592999999997,8.68,318.0,WARN
2203,LOCATION_OF_PRESENCE,416,3,108.41,313,4,29.56,266.8,WARN
2208,LOCATION_OF_PRESENCE,400,3,167.79,270,3,44.66,275.7,WARN
2233,LOCATION_OF_PRESENCE,114,0,,46,0,,,SKIP
2442,LOCATION_OF_PRESENCE,52,0.073459,731.30,68,1,9.43,7655.1,WARN
2703,LOCATION_OF_PRESENCE,249,8,15.28,130,1.5,29.57,-48.3,WARN
2372,LOCATION_OF_PRESENCE,161,2,77.94,215,3.687182,23.82,227.2,WARN
2578,LOCATION_OF_PRESENCE,366,29,11.13,256,7,14.22,-21.7,PASS
2428,LOCATION_OF_PRESENCE,0,0,,0,0,,,SKIP
2268,LOCATION_OF_PRESENCE,6,0,,185,1,6.32,100.0,WARN
2300,LOCATION_OF_PRESENCE,102,4,14.20,114,2,13.32,6.6,PASS
2348,LOCATION_OF_PRESENCE,125,2,47.76,80,0,,,SKIP
2376,LOCATION_OF_PRESENCE,71,2,35.24,180,2,17.80,98.0,WARN
2392,LOCATION_OF_PRESENCE,129,2,30.43,169,4,5.97,409.5,WARN
2554,LOCATION_OF_PRESENCE,195,4,51.88,150,2,35.07,48.0,WARN
2620,LOCATION_OF_PRESENCE,68,2,23.71,104,1,18.87,25.6,PASS
2804,LOCATION_OF_PRESENCE,301,0,,327,0,,,SKIP
2528,AREA_OF_INTEREST,0,0,,0,0,,,SKIP
2804,AREA_OF_INTEREST,0,0,,0,0,,,SKIP
2840,AREA_OF_INTEREST,0,0,,0,0,,,SKIP
2784,LOCATION_OF_PRESENCE,54,1,49.33,35,1,15.01,228.7,WARN
2056,AREA_OF_INTEREST,0,0,,0,0,,,SKIP
2250,AREA_OF_INTEREST,0,0,,0,0,,,SKIP
2724,AREA_OF_INTEREST,0,0,,0,0,,,SKIP
2276,AREA_OF_INTEREST,0,0,,0,0,,,SKIP
2826,AREA_OF_INTEREST,0,0,,0,0,,,SKIP
2784,AREA_OF_INTEREST,0,0,,0,0,,,SKIP
2414,AREA_OF_INTEREST,0,0,,0,0,,,SKIP
2616,AREA_OF_INTEREST,0,0,,0,0,,,SKIP
2036,AREA_OF_INTEREST,0,0,,0,0,,,SKIP
2203,AREA_OF_INTEREST,0,0,,0,0,,,SKIP
