campaign_name,day_of_week,hour,weeks_observed,weeks_high,weeks_low,weeks_dead,consistency,avg_cpa,avg_cpa_deviation_pct
"JM I DSA I FC'S I CAT'S",SUNDAY,0,4,3,0,1,confirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,1,4,2,0,2,unconfirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,2,4,0,0,4,confirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,3,4,1,0,3,confirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,4,4,2,0,2,unconfirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,5,4,1,0,3,confirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,6,4,0,0,4,confirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,8,4,1,0,3,confirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,9,4,3,0,1,confirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,10,4,2,0,2,unconfirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,11,4,2,0,2,unconfirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,12,4,1,0,3,confirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,13,4,1,0,3,confirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,14,4,3,0,1,confirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,15,4,4,0,0,confirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,16,4,2,0,2,unconfirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,17,4,3,0,1,confirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,18,4,3,0,1,confirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,19,4,3,1,0,confirmed,4.25,-75.3
"JM I DSA I FC'S I CAT'S",SUNDAY,20,4,4,0,0,confirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,21,4,3,0,1,confirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,22,4,2,0,2,unconfirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,23,4,4,0,0,confirmed,,
"JM I DSA I FC'S I CAT'S",SUNDAY,7,3,0,0,3,insufficient,,
"JM I DSA I FC'S I CAT'S",MONDAY,0,4,3,0,1,confirmed,,
"JM I DSA I FC'S I CAT'S",MONDAY,1,4,2,0,2,unconfirmed,,
"JM I DSA I FC'S I CAT'S",MONDAY,2,4,1,0,3,confirmed,,
"JM I DSA I FC'S I CAT'S",MONDAY,3,4,0,0,4,confirmed,,
"JM I DSA I FC'S I CAT'S",MONDAY,4,4,1,0,3,confirmed,,
"JM I DSA I FC'S I CAT'S",MONDAY,6,4,2,0,2,unconfirmed,,
"JM I DSA I FC'S I CAT'S",MONDAY,7,4,3,0,1,confirmed,,
"JM I DSA I FC'S I CAT'S",MONDAY,8,4,2,1,1,unconfirmed,0.76,-95.6
"JM I DSA I FC'S I CAT'S",MONDAY,9,4,1,0,3,confirmed,,
"JM I DSA I FC'S I CAT'S",MONDAY,10,4,2,0,2,unconfirmed,,
"JM I DSA I FC'S I CAT'S",MONDAY,11,4,2,0,2,unconfirmed,,
"JM I DSA I FC'S I CAT'S",MONDAY,12,4,0,1,3,confirmed,0.89,-94.8
"JM I DSA I FC'S I CAT'S",MONDAY,13,4,1,0,3,confirmed,,
"JM I DSA I FC'S I CAT'S",MONDAY,14,4,3,0,1,confirmed,,
"JM I DSA I FC'S I CAT'S",MONDAY,15,4,2,0,2,unconfirmed,,
"JM I DSA I FC'S I CAT'S",MONDAY,16,4,3,0,1,confirmed,,
"JM I DSA I FC'S I CAT'S",MONDAY,17,4,3,0,1,confirmed,,
