keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,flag_type,flag_severity,flag_detail,impressions,clicks,cost,primary_conversions,primary_cpa,effective_conversions,effective_cpa,effective_roas,break_even_cpa,break_even_roas,primary_kpi,is_core_term,quality_score,campaign_bidding_strategy_type,campaign_target_cpa,campaign_target_roas,efficiency_severity_tier,efficiency_severity_label,efficiency_severity_ratio,efficiency_impact,excess_spend,missing_conversion_value
tattoo hoodies,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,348063672445,UNPROFITABLE,High,"ROAS 0.21 < break-even 1.90. Tier 3 severe shortfall, missing value $79.18. Converting (0.07) but below profitability threshold.",298,28,46.73,0.07,695.26,0.07,695.26,0.21,,1.90,roas,true,,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,3,severe,9.24,79.18,,79.18
t shirt metal,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,811301782,UNPROFITABLE,High,"ROAS 1.50 < break-even 1.90. Tier 1 watch shortfall, missing value $406.10. Converting (10.53) but below profitability threshold.",8405,752,1006.38,10.53,95.56,10.53,95.56,1.50,,1.90,roas,true,5,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,1,watch,1.27,406.10,,406.10
goth and punk clothing,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,312644371589,UNPROFITABLE,High,"ROAS 1.41 < break-even 1.90. Tier 1 watch shortfall, missing value $224.19. Converting (4.50) but below profitability threshold.",3965,385,456.68,4.50,101.48,4.50,101.48,1.41,,1.90,roas,true,,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,1,watch,1.35,224.19,,224.19
goth rock clothes,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,384506467884,UNPROFITABLE,High,"ROAS 1.54 < break-even 1.90. Tier 1 watch shortfall, missing value $135.71. Converting (4.00) but below profitability threshold.",3108,306,372.48,4.00,93.12,4.00,93.12,1.54,,1.90,roas,true,5,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,1,watch,1.24,135.71,,135.71
punk and rock outfit,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,1388887699660,UNPROFITABLE,High,"ROAS 1.82 < break-even 1.90. Tier 1 watch shortfall, missing value $6.36. Converting (1.00) but below profitability threshold.",591,64,78.61,1.00,78.61,1.00,78.61,1.82,,1.90,roas,true,,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,1,watch,1.04,6.36,,6.36
stay cold hoodie,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,1570245148050,OVER_TARGET,Medium,"ROAS 23.64 < tROAS 94.83, but above break-even 1.90. Tier 3 severe target shortfall, missing value $430.70. Review bids / target ROAS segmentation — do not pause.",24,8,6.05,1.00,6.05,1.00,6.05,23.64,,1.90,roas,true,10,TARGET_IMPRESSION_SHARE,1.51,94.83,3,severe,4.01,430.70,,430.70
stay cold hoodie,EXACT,EX | USA | SEARCH | BRAND,USA | STAN | BRAND,20520258918,158916156691,1570245148050,OVER_TARGET,Medium,"ROAS 6.55 < tROAS 42.64, but above break-even 1.90. Tier 3 severe target shortfall, missing value $394.11. Review bids / target ROAS segmentation — do not pause.",146,17,10.92,0.50,21.84,0.50,21.84,6.55,,1.90,roas,true,10,MAXIMIZE_CONVERSION_VALUE,2.73,42.64,3,severe,6.51,394.11,,394.11
tattoo hoodies,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,348063672445,TIER_DEGRADED,Medium,tattoo hoodies shifted from INSUFFICIENT_DATA to UNPROFITABLE,298,28,46.73,0.07,695.26,0.07,695.26,0.21,,1.90,roas,true,,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,3,severe,9.24,79.18,,79.18
rocker hoodies,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,374506182157,OVER_TARGET,Medium,"ROAS 2.42 < tROAS 5.19, but above break-even 1.90. Tier 2 material target shortfall, missing value $1984.69. Review bids / target ROAS segmentation — do not pause.",5635,542,714.86,12.07,59.21,12.07,59.21,2.42,,1.90,roas,true,,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,2,material,2.15,1984.69,,1984.69
stay cold clothing,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,1748911514357,OVER_TARGET,Medium,"ROAS 37.94 < tROAS 94.83, but above break-even 1.90. Tier 2 material target shortfall, missing value $1677.00. Review bids / target ROAS segmentation — do not pause.",284,110,29.48,7.82,3.77,7.82,3.77,37.94,,1.90,roas,true,10,TARGET_IMPRESSION_SHARE,1.51,94.83,2,material,2.50,1677.00,,1677.00
punk hoodie,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,295174946366,OVER_TARGET,Medium,"ROAS 3.12 < tROAS 5.19, but above break-even 1.90. Tier 2 material target shortfall, missing value $1167.07. Review bids / target ROAS segmentation — do not pause.",4516,484,562.23,12.25,45.90,12.25,45.90,3.12,,1.90,roas,true,4,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,2,material,1.67,1167.07,,1167.07
punk hoodie,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,295174946366,TIER_DEGRADED,Medium,punk hoodie shifted from HERO to OVER_TARGET,4516,484,562.23,12.25,45.90,12.25,45.90,3.12,,1.90,roas,true,4,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,2,material,1.67,1167.07,,1167.07
stay cold shirt,BROAD,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,20520282363,152816606829,1933959631418,OVER_TARGET,Medium,"ROAS 8.95 < tROAS 22.06, but above break-even 1.90. Tier 2 material target shortfall, missing value $1151.49. Review bids / target ROAS segmentation — do not pause.",457,106,87.84,5.50,15.97,5.50,15.97,8.95,,1.90,roas,true,10,TARGET_IMPRESSION_SHARE,6.48,22.06,2,material,2.46,1151.49,,1151.49
tattoo clothing,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,314409264908,OVER_TARGET,Medium,"ROAS 3.39 < tROAS 5.19, but above break-even 1.90. Tier 2 material target shortfall, missing value $311.50. Review bids / target ROAS segmentation — do not pause.",1009,138,173.27,4.11,42.14,4.11,42.14,3.39,,1.90,roas,true,7,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,2,material,1.53,311.50,,311.50
tattoo streetwear,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,385780684017,OVER_TARGET,Medium,"ROAS 3.37 < tROAS 5.19, but above break-even 1.90. Tier 2 material target shortfall, missing value $250.59. Review bids / target ROAS segmentation — do not pause.",1091,119,137.79,3.25,42.40,3.25,42.40,3.37,,1.90,roas,true,,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,2,material,1.54,250.59,,250.59
tattoo streetwear,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,385780684017,TIER_DEGRADED,Medium,tattoo streetwear shifted from ACTIVE to OVER_TARGET,1091,119,137.79,3.25,42.40,3.25,42.40,3.37,,1.90,roas,true,,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,2,material,1.54,250.59,,250.59
t shirt metal,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,811301782,TIER_DEGRADED,Medium,t shirt metal shifted from HERO to UNPROFITABLE,8405,752,1006.38,10.53,95.56,10.53,95.56,1.50,,1.90,roas,true,5,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,1,watch,1.27,406.10,,406.10
punk and rock outfit,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,1388887699660,TIER_DEGRADED,Medium,punk and rock outfit shifted from INSUFFICIENT_DATA to UNPROFITABLE,591,64,78.61,1.00,78.61,1.00,78.61,1.82,,1.90,roas,true,,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,1,watch,1.04,6.36,,6.36
punk shop,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,143433439,LOW_PERFORMER,Medium,"1 impressions, 0 clicks in evaluation period",1,0,0.00,0.00,,0.00,,,,1.90,roas,true,,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,,,,,,
punk shop,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,143433439,TIER_DEGRADED,Medium,punk shop shifted from INSUFFICIENT_DATA to LOW_PERFORMER,1,0,0.00,0.00,,0.00,,,,1.90,roas,true,,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,,,,,,
mens hoodies,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,749619809,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,,1.90,roas,true,4,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,,,,,,
sinner hoodie,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,583142500232,ZOMBIE,Medium,0 impressions in evaluation period,0,0,0.00,0.00,,0.00,,,,1.90,roas,true,7,MAXIMIZE_CONVERSION_VALUE,73.00,5.19,,,,,,
stay cold apparel,BROAD,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),20520677694,154062129540,298883683899,HERO,Info,"stay cold apparel accounts for 86.20% spend, 74.37% primary conversions",18849,6681,1557.80,661.37,2.36,661.37,2.36,60.71,,1.90,roas,true,10,MAXIMIZE_CONVERSION_VALUE,2.03,100.00,,,,,,
stay cold apparel,PHRASE,EX | USA | SEARCH | BRAND,USA | STAN | BRAND,20520258918,158916156691,363740484229,HERO,Info,"stay cold apparel accounts for 79.98% spend, 80.21% primary conversions",7825,3063,650.52,238.60,2.73,238.60,2.73,52.45,,1.90,roas,true,10,MAXIMIZE_CONVERSION_VALUE,2.73,42.64,,,,,,
stay cold clothing,BROAD,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,20520282363,152816606829,298951286375,HERO,Info,"stay cold clothing accounts for 65.87% spend, 35.21% primary conversions",2374,563,439.94,36.28,12.13,36.28,12.13,11.79,,1.90,roas,true,10,TARGET_IMPRESSION_SHARE,6.48,22.06,,,,,,
stay cold apparel,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,363100617039,HERO,Info,"stay cold apparel accounts for 55.95% spend, 55.04% primary conversions",4420,2329,242.37,158.11,1.53,158.11,1.53,93.28,,1.90,roas,true,10,TARGET_IMPRESSION_SHARE,1.51,94.83,,,,,,
stay cold,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,406148670404,HERO,Info,"stay cold accounts for 35.76% spend, 41.89% primary conversions",3402,1606,154.93,120.34,1.29,120.34,1.29,111.07,,1.90,roas,false,10,TARGET_IMPRESSION_SHARE,1.51,94.83,,,,,,
stay cold apparel,BROAD,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,20520282363,152816606829,298883683899,HERO,Info,"stay cold apparel accounts for 12.34% spend, 30.32% primary conversions",1726,747,82.40,31.24,2.64,31.24,2.64,54.22,,1.90,roas,true,10,TARGET_IMPRESSION_SHARE,6.48,22.06,,,,,,
