keyword_text,match_type,overlap_type,flag_type,flag_severity,flag_detail,location_a_campaign,location_a_adgroup,location_a_criterion_id,location_a_impressions,location_a_clicks,location_a_cost,location_a_conversions,location_b_campaign,location_b_adgroup,location_b_criterion_id,location_b_impressions,location_b_clicks,location_b_cost,location_b_conversions,negative_covered
stay cold apparel,PHRASE vs BROAD,cross_campaign,CROSS_CAMPAIGN_MATCH_CONFLICT,Medium,"""stay cold apparel"": PHRASE in ""EX | USA | SEARCH | BRAND"", BROAD in ""EX | SKANDI | SEARCH | BRAND""",EX | USA | SEARCH | BRAND,USA | STAN | BRAND,363740484229,7825,3063,650.52,386.491668,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,298883683899,1726,747,82.40,49.782806,
stay cold apparel,PHRASE vs BROAD,cross_campaign,CROSS_CAMPAIGN_MATCH_CONFLICT,Medium,"""stay cold apparel"": PHRASE in ""EX | USA | SEARCH | BRAND"", BROAD in ""EX | DE | SEARCH | BRAND""",EX | USA | SEARCH | BRAND,USA | STAN | BRAND,363740484229,7825,3063,650.52,386.491668,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),298883683899,18849,6681,1557.80,961.40325,
stay cold apparel,PHRASE vs EXACT,cross_campaign,CROSS_CAMPAIGN_MATCH_CONFLICT,Medium,"""stay cold apparel"": PHRASE in ""EX | USA | SEARCH | BRAND"", EXACT in ""EX | FRA | SEARCH | BRAND""",EX | USA | SEARCH | BRAND,USA | STAN | BRAND,363740484229,7825,3063,650.52,386.491668,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,363100617039,4420,2329,242.37,236.499145,
stay cold apparel,BROAD vs EXACT,cross_campaign,CROSS_CAMPAIGN_MATCH_CONFLICT,Medium,"""stay cold apparel"": BROAD in ""EX | SKANDI | SEARCH | BRAND"", EXACT in ""EX | FRA | SEARCH | BRAND""",EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,298883683899,1726,747,82.40,49.782806,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,363100617039,4420,2329,242.37,236.499145,
stay cold apparel,BROAD vs EXACT,cross_campaign,CROSS_CAMPAIGN_MATCH_CONFLICT,Medium,"""stay cold apparel"": BROAD in ""EX | DE | SEARCH | BRAND"", EXACT in ""EX | FRA | SEARCH | BRAND""",EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),298883683899,18849,6681,1557.80,961.40325,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,363100617039,4420,2329,242.37,236.499145,
stay cold clothing,PHRASE vs BROAD,cross_campaign,CROSS_CAMPAIGN_MATCH_CONFLICT,Medium,"""stay cold clothing"": PHRASE in ""EX | USA | SEARCH | BRAND"", BROAD in ""EX | SKANDI | SEARCH | BRAND""",EX | USA | SEARCH | BRAND,USA | STAN | BRAND,399727002840,151,63,3.87,4.56245,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,298951286375,2374,563,439.94,55.286972,
stay cold clothing,PHRASE vs BROAD,cross_campaign,CROSS_CAMPAIGN_MATCH_CONFLICT,Medium,"""stay cold clothing"": PHRASE in ""EX | USA | SEARCH | BRAND"", BROAD in ""EX | DE | SEARCH | BRAND""",EX | USA | SEARCH | BRAND,USA | STAN | BRAND,399727002840,151,63,3.87,4.56245,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),298951286375,5,1,0.22,0.5,
stay cold clothing,PHRASE vs EXACT,cross_campaign,CROSS_CAMPAIGN_MATCH_CONFLICT,Medium,"""stay cold clothing"": PHRASE in ""EX | USA | SEARCH | BRAND"", EXACT in ""EX | FRA | SEARCH | BRAND""",EX | USA | SEARCH | BRAND,USA | STAN | BRAND,399727002840,151,63,3.87,4.56245,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,1748911514357,284,110,29.48,11.38793,
stay cold clothing,BROAD vs EXACT,cross_campaign,CROSS_CAMPAIGN_MATCH_CONFLICT,Medium,"""stay cold clothing"": BROAD in ""EX | SKANDI | SEARCH | BRAND"", EXACT in ""EX | FRA | SEARCH | BRAND""",EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,298951286375,2374,563,439.94,55.286972,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,1748911514357,284,110,29.48,11.38793,
stay cold clothing,BROAD vs EXACT,cross_campaign,CROSS_CAMPAIGN_MATCH_CONFLICT,Medium,"""stay cold clothing"": BROAD in ""EX | DE | SEARCH | BRAND"", EXACT in ""EX | FRA | SEARCH | BRAND""",EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),298951286375,5,1,0.22,0.5,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,1748911514357,284,110,29.48,11.38793,
stay cold hoodie,EXACT vs BROAD,cross_campaign,CROSS_CAMPAIGN_MATCH_CONFLICT,Medium,"""stay cold hoodie"": EXACT in ""EX | USA | SEARCH | BRAND"", BROAD in ""EX | DE | SEARCH | BRAND""",EX | USA | SEARCH | BRAND,USA | STAN | BRAND,1570245148050,146,17,10.92,0.5,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),424973975695,50,11,2.34,0,
stay cold hoodie,BROAD vs EXACT,cross_campaign,CROSS_CAMPAIGN_MATCH_CONFLICT,Medium,"""stay cold hoodie"": BROAD in ""EX | DE | SEARCH | BRAND"", EXACT in ""EX | FRA | SEARCH | BRAND""",EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),424973975695,50,11,2.34,0,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,1570245148050,24,8,6.05,1,
stay cold shirt,EXACT vs BROAD,cross_campaign,CROSS_CAMPAIGN_MATCH_CONFLICT,Medium,"""stay cold shirt"": EXACT in ""EX | USA | SEARCH | BRAND"", BROAD in ""EX | SKANDI | SEARCH | BRAND""",EX | USA | SEARCH | BRAND,USA | STAN | BRAND,1932555128350,16,4,0.86,0,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,1933959631418,457,106,87.84,8,
stay cold shirt,EXACT vs BROAD,cross_campaign,CROSS_CAMPAIGN_MATCH_CONFLICT,Medium,"""stay cold shirt"": EXACT in ""EX | USA | SEARCH | BRAND"", BROAD in ""EX | DE | SEARCH | BRAND""",EX | USA | SEARCH | BRAND,USA | STAN | BRAND,1932555128350,16,4,0.86,0,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),1933959631418,30,5,1.02,0,
stay cold shirt,BROAD vs EXACT,cross_campaign,CROSS_CAMPAIGN_MATCH_CONFLICT,Medium,"""stay cold shirt"": BROAD in ""EX | SKANDI | SEARCH | BRAND"", EXACT in ""EX | FRA | SEARCH | BRAND""",EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,1933959631418,457,106,87.84,8,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,1932555128350,17,3,0.38,0,
