keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,status,approval_status,impressions,clicks,cost,blended_conversions,primary_conversions,effective_conversions,effective_conv_value,primary_cpa,effective_cpa,effective_roas,ctr,spend_share,conversion_share,quality_score,expected_ctr,ad_relevance,landing_page_exp,tier,prior_tier,tier_shifted,is_hero_spender,bidding_mode,campaign_target_cpa,campaign_target_roas,target_source,portfolio_name,break_even_cpa,break_even_roas,primary_kpi,is_core_term,patience_multiplier,pause_spend_threshold,efficiency_severity_tier,efficiency_severity_label,efficiency_severity_ratio,efficiency_impact,excess_spend,missing_conversion_value
punk clothing,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,38683771,ENABLED,APPROVED,746,76,81.03,0.00,0.00,0.00,0.00,,,0.00,10.19,2.14,0.00,7,ABOVE_AVERAGE,ABOVE_AVERAGE,BELOW_AVERAGE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,STABLE,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,,,,,,
punk shop,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,143433439,ENABLED,APPROVED,1,0,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,,LOW_PERFORMER,INSUFFICIENT_DATA,DEGRADED,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,,,,,,
punk rock shirts,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,146826424,ENABLED,APPROVED,295,18,20.30,0.00,0.00,0.00,0.00,,,0.00,6.10,0.54,0.00,5,AVERAGE,ABOVE_AVERAGE,BELOW_AVERAGE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,STABLE,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,,,,,,
tattoo shirts,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,476587193,ENABLED,APPROVED,371,51,52.26,0.00,0.00,0.00,0.00,,,0.00,13.75,1.38,0.00,7,ABOVE_AVERAGE,ABOVE_AVERAGE,BELOW_AVERAGE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,STABLE,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,,,,,,
mens hoodies,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,749619809,ENABLED,APPROVED,0,0,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,4,AVERAGE,AVERAGE,BELOW_AVERAGE,ZOMBIE,ZOMBIE,STABLE,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,,,,,,
t shirt metal,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,811301782,ENABLED,APPROVED,8405,752,1006.38,10.53,10.53,10.53,1506.02,95.56,95.56,1.50,8.95,26.62,20.34,5,AVERAGE,ABOVE_AVERAGE,BELOW_AVERAGE,UNPROFITABLE,HERO,DEGRADED,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,1,watch,1.27,406.10,,406.10
punk hoodie,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,295174946366,ENABLED,APPROVED,4516,484,562.23,12.25,12.25,12.25,1751.75,45.90,45.90,3.12,10.72,14.87,23.66,4,AVERAGE,AVERAGE,BELOW_AVERAGE,OVER_TARGET,HERO,DEGRADED,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,2,material,1.67,1167.07,,1167.07
goth and punk clothing,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,312644371589,ENABLED,APPROVED,3965,385,456.68,4.50,4.50,4.50,643.50,101.48,101.48,1.41,9.71,12.08,8.69,,,,,UNPROFITABLE,UNPROFITABLE,STABLE,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,1,watch,1.35,224.19,,224.19
tattoo clothing,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,314409264908,ENABLED,APPROVED,1009,138,173.27,4.11,4.11,4.11,588.03,42.14,42.14,3.39,13.68,4.58,7.94,7,ABOVE_AVERAGE,ABOVE_AVERAGE,BELOW_AVERAGE,OVER_TARGET,OVER_TARGET,STABLE,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,2,material,1.53,311.50,,311.50
cute goth clothes,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,319155379082,ENABLED,APPROVED,794,60,63.89,0.00,0.00,0.00,0.00,,,0.00,7.56,1.69,0.00,,,,,INSUFFICIENT_DATA,INSUFFICIENT_DATA,STABLE,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,,,,,,
tattoo hoodies,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,348063672445,ENABLED,APPROVED,298,28,46.73,0.07,0.07,0.07,9.61,695.26,695.26,0.21,9.40,1.24,0.13,,,,,UNPROFITABLE,INSUFFICIENT_DATA,DEGRADED,false,SMART,73.00,5.19,campaign_inline,,,1.90,roas,true,1.5,300.00,3,severe,9.24,79.18,,79.18
