placement,display_name,placement_type,flag_type,flag_severity,flag_detail
"UCYXIviXPAaaaU_AOotpXTAw","Revive Music","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Passive music channel — background/playlist-focused content"
"UCHE7rAi1Fw1CBmQXFtvJmrw","LIVELOVEASAPVEVO","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","VEVO music video channel — passive music content"
"UC4eYXhJI4-7wSWc8UNRwD4A","NPR Music","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Music publication/broadcast channel"
"UCulYu1HEIa7f70L2lYZWHOw","michaeljacksonVEVO","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","VEVO music video channel — passive music content"
"UC0gOw4iy-6HwO01q-gA1B0Q","Lil Peep","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Music artist channel — primarily music content"
"UCAkIMkEaa9sZmjcy7mfd5lQ","Gunna","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Music artist channel — primarily music content"
"UCtylTUUVIGY_i5afsQYeBZA","Lyrical Lemonade","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Music platform/channel — lyric and music-focused content"
"UCmBA_wu8xGg1OfOkfW13Q0Q","Bad Bunny","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Music artist channel — primarily music content"
"UCFNosi99Sp0_eLilBiXmmXA","FutureVEVO","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","VEVO music video channel — passive music content"
"UCQznUf1SjfDqx65hX3zRDiA","DrakeVEVO","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","VEVO music video channel — passive music content"
"UC2a9zmrdjvLsrRgi4G4blWw","MGKVEVO","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","VEVO music video channel — passive music content"
"UCEzuOCz9-i0TSLePSbIoPWA","Amplified - Classic Rock & Music History","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Music history/classic rock channel — music-focused content"
"UCAR30oDTNbJE-Zd2NDg1mTQ","Electric Callboy","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Band/music artist channel — primarily music content"
"UCTGbDM6lZnKFctFA5GOU0Kg","KornVEVO","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","VEVO music video channel — passive music content"
"UCKrdjiuS66yXOdEZ_cOD_TA","Megan Thee Stallion","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Music artist channel — primarily music content"
"UCsWqHrJvOU_uukQCU92VEvw","Dominic Fike - Topic","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","YouTube Topic music channel — official artist content"
"UCVp3nfGRxmMadNDuVbJSk8A","Wiz Khalifa","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Music artist channel — primarily music content"
"UCGBpxWJr9FNOcFYA5GkKrMg","Boiler Room","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Electronic music platform/venue channel — music-focused content"
"UC47kJWRBD-NREBvmBg5kWeA","King Von","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Music artist channel — primarily music content"
"UCqwxMqUcL-XC3D9-fTP93Mg","LIL UZI VERT","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Music artist channel — primarily music content"
"UC5RrGzC-JXglhFW5NhT4r6w","2Pac - Topic","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","YouTube Topic music channel — official artist content"
"UCB_Z6rBg3WW3NL4-QimhC2A","The Rolling Stones","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Band/music artist channel — primarily music content"
