placement,display_name,placement_type,campaign_name,campaign_id,campaign_channel_type,impressions,clicks,ctr,cost,conversions,cost_per_conversion,conversions_value,view_through_conversions,all_conversions,campaign_avg_cpa,campaign_avg_ctr,flag_type,flag_severity,flag_detail
"UCRXeotOurT4O18UecCmyvRw","Viraltek","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",9825,0,0.0000,79.21,0,0.00,0,0,19,0.00,0.0015,"ZERO_CLICK","Medium","9825 impressions with 0 clicks"
"UCwWhs_6x42TyRM4Wstoq8HA","The Daily Show","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",1125,0,0.0000,5.81,0,0.00,0,0,1,0.00,0.0015,"ZERO_CLICK","Medium","1125 impressions with 0 clicks"
"UC9r9HYFxEQOBXSopFS61ZWg","MeidasTouch","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",1091,0,0.0000,5.38,0,0.00,0,0,3,0.00,0.0015,"ZERO_CLICK","Medium","1091 impressions with 0 clicks"
"UChE2pPdzHwtzUk7GFgATqVg","Amazing Theater","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",8,1,0.1250,0.17,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 12.5% suggests accidental clicks"
"UCFE5BOsfmMBj3XJdneL6abw","GORNATION","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",2,1,0.5000,0.17,0,0.00,0,0,4,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 50.0% suggests accidental clicks"
"UCvAD3EQC4-_oEIThqMhWOAQ","TacticalRab","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",1,1,1.0000,0.16,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 100.0% suggests accidental clicks"
"UCOTaQOueW7Va3rVF3PGL4hw","Aaron Esser","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",5,1,0.2000,0.16,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 20.0% suggests accidental clicks"
"UCGjEbsGoyWSJlMjzuWM4FKQ","Thy Art Is Murder","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",18,2,0.1111,0.15,0,0.00,0,0,4,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 11.1% suggests accidental clicks"
"UCdWLJje8REqk6QXePwk9qmQ","ResellingHistory","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",5,1,0.2000,0.14,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 20.0% suggests accidental clicks"
"UCoPXAn8QnYeVLvcW8z9LDmQ","Roman Sharf","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",12,3,0.2500,0.13,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 25.0% suggests accidental clicks"
