placement,display_name,placement_type,campaign_name,campaign_channel_type,impressions,cost
"UCYXIviXPAaaaU_AOotpXTAw","Revive Music","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",2847,23.13
"UC-4Tzd5lIRU7lcv7_5OO01Q","unsympathischTV","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",2208,14.86
"UC7Tmdxj18fdu4tTtxVUhoCA","Jocuri Horror","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",2201,13.73
"UCoMdktPbSTixAyNGwb-UYkQ","Sky News","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",1684,11.44
"UCg3gzldyhCHJjY7AWWTNPPA","Sam and Colby","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",1186,7.29
"UC0L1suV8pVgO4pCAIBNGx5w","60 Minutes Australia","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",1045,6.61
"UCpXBGqwsBkpvcYjsJBQ7LEQ","Critical Role","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",808,5.74
"UCMtFAi84ehTSYSE9XoHefig","The Late Show with Stephen Colbert","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",908,5.63
"UC02gw9sHi8uD7NskbUaFZwA","Zwischen Tüll & Tränen","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",733,5.22
"UCwYQXYfPHTZKANHzBHdYo2w","ANATOLY","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",733,5.06
"UCVTyTA7-g9nopHeHbeuvpRA","Late Night with Seth Meyers","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",757,4.75
"UCnSWkrRWNQWNhDusoWr_HXQ","SML","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",748,4.49
"UC3RYNOKIpKE_2P-5ZapWIYg","KingWoolz Games","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",618,4.16
"UCjiXtODGCCulmhwypZAWSag","Jynxzi","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",615,4.15
"UCaXkIU1QidjPwiAYu6GcHjg","MS NOW","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",741,4.03
"UCHE7rAi1Fw1CBmQXFtvJmrw","LIVELOVEASAPVEVO","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",605,3.94
"UC4eYXhJI4-7wSWc8UNRwD4A","NPR Music","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",476,3.76
"UCaWd5_7JhbQBe4dknZhsHJg","WatchMojo.com","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",509,3.67
"UCulYu1HEIa7f70L2lYZWHOw","michaeljacksonVEVO","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",510,3.67
"UCJ2ZDzMRgSrxmwphstrm8Ww","Smosh Games","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",523,3.62
"UCRvgf8_Dvfo8Yh7EqlOreYQ","Europe Hits Different","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",514,3.61
"UCYF1kiTFCcYPqGTqXKt3JJg","Papa Meat","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",532,3.61
"UCGq-a57w-aPwyi3pW7XLiHw","The Diary Of A CEO","YOUTUBE_CHANNEL","Video View DRAFT","VIDEO",560,3.56
