keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,final_urls,impressions,clicks,cost,avg_cpc,conversions,conversions_value,quality_score,ad_relevance,expected_ctr,landing_page_exp,tier,class,dominant_limiting_component,below_avg_components,is_high_spend,priority_score,search_is,lost_is_rank,search_top_is,bidding_strategy_type,bidding_mode,target_source,portfolio_name
punk clothing,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,38683771,,1298,123,129.60,1.05,0.00,0.00,7,ABOVE_AVG,ABOVE_AVG,BELOW_AVG,QS_OK,GENERIC,LP,LP,false,3894,9.99,70.61,9.99,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
punk shop,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,143433439,,775,64,62.89,0.98,0.00,0.00,,NULL,NULL,NULL,QS_NULL,GENERIC,NONE,,false,0,9.99,76.28,9.99,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
punk rock shirts,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,146826424,,331,21,21.67,1.03,0.00,0.00,5,ABOVE_AVG,AVG,BELOW_AVG,UNSTABLE_QS,GENERIC,LP,LP,false,1655,9.99,64.93,9.99,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
tattoo shirts,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,476587193,,472,65,62.00,0.95,0.00,0.00,7,ABOVE_AVG,ABOVE_AVG,BELOW_AVG,UNSTABLE_QS,GENERIC,LP,LP,false,1416,9.99,68.65,9.99,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
mens hoodies,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,749619809,,0,0,0.00,,0.00,0.00,5,ABOVE_AVG,AVG,BELOW_AVG,UNSTABLE_QS,GENERIC,LP,LP,false,0,,,,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
t shirt metal,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,811301782,,17428,1468,1911.89,1.30,22.11,3933.48,5,ABOVE_AVG,AVG,BELOW_AVG,QS_WATCH,GENERIC,LP,LP,true,87140,9.99,67.58,9.99,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
punk hoodie,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,295174946366,,10604,974,1173.15,1.20,23.33,3984.98,4,AVG,AVG,BELOW_AVG,QS_CRITICAL,GENERIC,LP,LP,true,63624,9.99,65.90,9.99,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
staycold,BROAD,EX | USA | SEARCH | BRAND,USA | STAN | BRAND,20520258918,158916156691,297075659445,,2823,962,330.94,0.34,119.88,21889.79,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,QS_OK,BRANDED,NONE,,false,0,72.10,27.90,64.93,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
stay cold,BROAD,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,20520282363,152816606829,298883683859,,2422,976,173.58,0.18,110.54,17890.94,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,QS_OK,BRANDED,NONE,,false,0,94.21,5.79,90.96,TARGET_IMPRESSION_SHARE,MANUAL,none,
stay cold,BROAD,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),20520677694,154062129540,298883683859,,18441,7646,689.07,0.09,956.74,116002.70,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,QS_OK,BRANDED,NONE,,false,0,96.38,3.62,92.89,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
stay cold apparel,BROAD,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,20520282363,152816606829,298883683899,,4456,2099,409.64,0.20,199.77,32504.07,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,QS_OK,BRANDED,NONE,,false,0,95.08,4.92,93.28,TARGET_IMPRESSION_SHARE,MANUAL,none,
stay cold apparel,BROAD,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),20520677694,154062129540,298883683899,,49791,19322,4303.61,0.22,2674.01,331749.15,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,QS_OK,BRANDED,NONE,,true,0,93.26,6.74,88.84,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
stay cold clothing,BROAD,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,20520282363,152816606829,298951286375,,6255,1540,1079.07,0.70,161.91,25784.38,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,QS_OK,BRANDED,NONE,,true,0,89.01,10.99,81.76,TARGET_IMPRESSION_SHARE,MANUAL,none,
stay cold clothing,BROAD,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),20520677694,154062129540,298951286375,,24,16,2.27,0.14,3.50,306.57,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,UNSTABLE_QS,BRANDED,NONE,,false,0,100.00,0.00,100.00,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
goth and punk clothing,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,312644371589,,7727,774,915.14,1.18,6.50,1490.34,,NULL,NULL,NULL,QS_NULL,GENERIC,NONE,,true,0,9.99,66.35,9.99,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
tattoo clothing,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,314409264908,,1606,202,253.62,1.26,5.11,1010.84,7,ABOVE_AVG,ABOVE_AVG,BELOW_AVG,QS_OK,GENERIC,LP,LP,false,4818,11.68,63.45,9.99,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
cute goth clothes,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,319155379082,,1580,123,130.30,1.06,0.00,0.00,,NULL,NULL,NULL,QS_NULL,GENERIC,NONE,,false,0,9.99,68.05,9.99,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
tattoo hoodies,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,348063672445,,428,42,64.59,1.54,0.07,12.02,,NULL,NULL,NULL,QS_NULL,GENERIC,NONE,,false,0,9.99,52.80,9.99,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
stay cold apparel,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,363100617039,,10048,6308,670.36,0.11,695.41,91539.98,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,QS_OK,BRANDED,NONE,,false,0,94.93,5.07,93.01,TARGET_IMPRESSION_SHARE,MANUAL,none,
stay cold apparel,PHRASE,EX | USA | SEARCH | BRAND,USA | STAN | BRAND,20520258918,158916156691,363740484229,,20636,9355,1713.12,0.18,1064.42,182332.03,10,ABOVE_AVG,ABOVE_AVG,ABOVE_AVG,QS_OK,BRANDED,NONE,,true,0,87.98,12.02,82.76,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
rocker hoodies,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,374506182157,,7977,777,977.21,1.26,17.64,3446.66,,NULL,NULL,NULL,QS_NULL,GENERIC,NONE,,true,0,9.99,53.23,9.99,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
goth rock clothes,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,384506467884,,5558,575,691.85,1.20,5.50,779.36,5,ABOVE_AVG,AVG,BELOW_AVG,QS_WATCH,GENERIC,LP,LP,false,27790,9.99,65.08,9.99,MAXIMIZE_CONVERSION_VALUE,SMART,campaign_inline,
