keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,weeks_of_data,first_qs,last_qs,qs_change,qs_slope_per_week,qs_trajectory,ar_first,ar_last,ar_trajectory,ectr_first,ectr_last,ectr_trajectory,lp_first,lp_last,lp_trajectory,total_impressions,changelog_events_near
punk clothing,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,38683771,26,7,7,0.00,0.000,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,2,2,STABLE,2365,22
t shirt metal,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,811301782,27,1,5,4.00,0.152,IMPROVING,2,3,IMPROVING,2,3,IMPROVING,2,2,STABLE,19771,22
punk hoodie,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,295174946366,27,5,4,-1.00,0.014,DECLINING,3,3,STABLE,3,3,STABLE,2,2,STABLE,15479,22
punk shop,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,143433439,0,,,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,1834,
punk rock shirts,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,146826424,4,5,5,0.00,0.000,STABLE,,,INSUFFICIENT_DATA,3,3,STABLE,2,2,STABLE,293,19
cute goth clothes,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,319155379082,14,5,5,0.00,0.000,STABLE,2,2,STABLE,,,INSUFFICIENT_DATA,2,2,STABLE,1375,1
goth rock clothes,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,384506467884,3,5,5,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,6535,
tattoo streetwear,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,385780684017,0,,,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,2663,
tattoo shirts,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,476587193,6,7,7,0.00,0.000,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,2,2,STABLE,417,21
goth and punk clothing,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,312644371589,0,,,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,9335,
tattoo clothing,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,314409264908,13,7,7,0.00,0.000,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,2,2,STABLE,1598,21
punk and rock outfit,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,1388887699660,0,,,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,1215,
tattoo hoodies,PHRASE,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,348063672445,0,,,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,429,
goth rock fashion,EXACT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,482109167247,0,,,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,569,
rocker hoodies,BROAD,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,STAN I BROAD I HOME,17820068572,142609568599,374506182157,0,,,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,7977,
stay cold apparel,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,363100617039,27,10,10,0.00,0.000,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,18050,22
stay cold,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,406148670404,27,10,10,0.00,0.000,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,17977,22
stay cold hoodie,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,1570245148050,0,,,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,131,
stay cold clothing,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,1748911514357,25,10,10,0.00,0.000,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,1633,22
stay cold shirt,EXACT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,20530080445,151062191217,1932555128350,0,,,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,63,
stay cold,BROAD,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,20520282363,152816606829,298883683859,27,10,10,0.00,0.000,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,5768,22
stay cold apparel,BROAD,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,20520282363,152816606829,298883683899,27,10,10,0.00,0.000,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,8110,22
stay cold clothing,BROAD,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,20520282363,152816606829,298951286375,27,10,10,0.00,0.000,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,11122,22
stay cold shirt,BROAD,EX | SKANDI | SEARCH | BRAND,SWE | STAN | BRAND,20520282363,152816606829,1933959631418,18,10,10,0.00,0.000,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,2822,9
stay cold,BROAD,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),20520677694,154062129540,298883683859,27,10,10,0.00,0.000,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,38065,22
stay cold apparel,BROAD,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),20520677694,154062129540,298883683899,27,10,10,0.00,0.000,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,101045,22
stay cold clothing,BROAD,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),20520677694,154062129540,298951286375,0,,,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,73,
stay cold hoodie,BROAD,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),20520677694,154062129540,424973975695,6,10,10,0.00,0.000,STABLE,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,182,1
stay cold shirt,BROAD,EX | DE | SEARCH | BRAND,DE | STAN | BRAND (EN),20520677694,154062129540,1933959631418,0,,,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,,,INSUFFICIENT_DATA,111,
