campaign.name,campaign.resource_name,metrics.conversions,metrics.conversions_value,segments.conversion_action_name
JM I DSA I FC'S I CAT'S,customers/3599116618/campaigns/17655205884,17.97826,2622.492944905,Custom NewCustomerPurchase - Stay Cold Mable
JM I DSA I FC'S I CAT'S,customers/3599116618/campaigns/17655205884,22.033502,2922.928914848,purchase_gads_mable
EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,customers/3599116618/campaigns/17820068572,94.495399,17129.461054151,purchase_gads_mable
EX I SHOPPING I FOKUSPRODUKTE,customers/3599116618/campaigns/18399515515,115.881687,14417.328247894,Custom NewCustomerPurchase - Stay Cold Mable
EX I SHOPPING I FOKUSPRODUKTE,customers/3599116618/campaigns/18399515515,136.768236,17596.95078009,purchase_gads_mable
EX I SHOPPING I PUR I T-ROAS I NEAR INDEX,customers/3599116618/campaigns/19764299214,2,284.806914256,Custom NewCustomerPurchase - Stay Cold Mable
EX I SHOPPING I PUR I T-ROAS I NEAR INDEX,customers/3599116618/campaigns/19764299214,3,444.506914256,purchase_gads_mable
EX I WW I PMAX I SCALING I FEED ONLY I OVER-INDEX + INDEX + NEAR-INDEX,customers/3599116618/campaigns/20369175508,6.5,706.058687951,Custom NewCustomerPurchase - Stay Cold Mable
EX I WW I PMAX I SCALING I FEED ONLY I OVER-INDEX + INDEX + NEAR-INDEX,customers/3599116618/campaigns/20369175508,9.666667,1376.029926845,purchase_gads_mable
EX | USA | SEARCH | BRAND,customers/3599116618/campaigns/20520258918,180.319951,29300.784040765,Custom NewCustomerPurchase - Stay Cold Mable
EX | USA | SEARCH | BRAND,customers/3599116618/campaigns/20520258918,301.97458,53997.483930771,purchase_gads_mable
EX | SKANDI | SEARCH | BRAND,customers/3599116618/campaigns/20520282363,63.324224,11395.621793565,Custom NewCustomerPurchase - Stay Cold Mable
EX | SKANDI | SEARCH | BRAND,customers/3599116618/campaigns/20520282363,104.253721,18633.432065042,purchase_gads_mable
EX | DE | SEARCH | BRAND,customers/3599116618/campaigns/20520677694,374.702495,46345.242487076,Custom NewCustomerPurchase - Stay Cold Mable
EX | DE | SEARCH | BRAND,customers/3599116618/campaigns/20520677694,874.077226,107252.407023774,purchase_gads_mable
EX | FRA | SEARCH | BRAND,customers/3599116618/campaigns/20530080445,136.353197,17279.65530067,Custom NewCustomerPurchase - Stay Cold Mable
EX | FRA | SEARCH | BRAND,customers/3599116618/campaigns/20530080445,278.210331,36632.930158224,purchase_gads_mable
EX I WW I PMAX I SCALING I FEED ONLY I PROSPECTING,customers/3599116618/campaigns/21137012770,140.560016,20944.870599165,Custom NewCustomerPurchase - Stay Cold Mable
EX I WW I PMAX I SCALING I FEED ONLY I PROSPECTING,customers/3599116618/campaigns/21137012770,177.038567,26640.995913925,purchase_gads_mable
