campaign.name,campaign.resource_name,metrics.all_conversions,metrics.all_conversions_value,metrics.conversions,metrics.conversions_value,segments.conversion_action_name
JM I DSA I FC'S I CAT'S,customers/3599116618/campaigns/17655205884,61.772773,8906.84462482,61.772773,8906.84462482,Custom NewCustomerPurchase - Stay Cold Mable
JM I DSA I FC'S I CAT'S,customers/3599116618/campaigns/17655205884,100.361833,22908.27652449,1,127.1,Google Shopping App Purchase
JM I DSA I FC'S I CAT'S,customers/3599116618/campaigns/17655205884,811.002355,0,319.333333,0,Sale (Alle Websitedaten DE)
JM I DSA I FC'S I CAT'S,customers/3599116618/campaigns/17655205884,81.495954,9989.789024722,22.647998,2725.65045852,Stay Cold Apparel DE (bereinigt)  – GA4 (web) purchase
JM I DSA I FC'S I CAT'S,customers/3599116618/campaigns/17655205884,93.64108,12985.769745575,92.64108,12815.769745575,purchase_gads_mable
EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,customers/3599116618/campaigns/17820068572,2014.739228,463390.790732108,649.031528,103039.12053517,Google Shopping App Purchase
EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,customers/3599116618/campaigns/17820068572,91,0,19,0,Sale (Alle Websitedaten DE)
EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,customers/3599116618/campaigns/17820068572,2523.24075,336102.473693891,1325.078694,166026.590697462,Stay Cold Apparel DE (bereinigt)  – GA4 (web) purchase
EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,customers/3599116618/campaigns/17820068572,6,465.52,6,465.52,Transactions (Alle Websitedaten DE)
EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,customers/3599116618/campaigns/17820068572,1098.314368,166852.157189956,1094.314368,166521.547189956,purchase_gads_mable
EX I SHOPPING I FOKUSPRODUKTE,customers/3599116618/campaigns/18399515515,1533.174626,224964.784285729,1506.673155,220840.461771767,Custom NewCustomerPurchase - Stay Cold Mable
EX I SHOPPING I FOKUSPRODUKTE,customers/3599116618/campaigns/18399515515,4068.06354,767966.989794937,12.862514,1523.109079204,Google Shopping App Purchase
EX I SHOPPING I FOKUSPRODUKTE,customers/3599116618/campaigns/18399515515,2430.17264,339123.997147554,28.304127,2929.46176038,Stay Cold Apparel DE (bereinigt)  – GA4 (web) purchase
EX I SHOPPING I FOKUSPRODUKTE,customers/3599116618/campaigns/18399515515,1,41,1,41,Transactions (Alle Websitedaten DE)
EX I SHOPPING I FOKUSPRODUKTE,customers/3599116618/campaigns/18399515515,3925.026166,580523.288191331,3921.026166,579925.958191331,purchase_gads_mable
EX I WW I PMAX I SCALING I BROAD,customers/3599116618/campaigns/18788654586,331.271502,30637.303151413,251.682676,20458.995459843,Custom NewCustomerPurchase - Stay Cold Mable
EX I WW I PMAX I SCALING I BROAD,customers/3599116618/campaigns/18788654586,12319.832881,1677654.944560177,628,76382.84,Google Shopping App Purchase
EX I WW I PMAX I SCALING I BROAD,customers/3599116618/campaigns/18788654586,8231.007316,1067855.953771356,5354.572894,676075.058851128,Stay Cold Apparel DE (bereinigt)  – GA4 (web) purchase
EX I WW I PMAX I SCALING I BROAD,customers/3599116618/campaigns/18788654586,6514.536946,858831.912533165,5871.129779,775047.725705197,purchase_gads_mable
EX I SHOPPING I PUR I T-ROAS I NEAR INDEX,customers/3599116618/campaigns/19764299214,6,720.373044324,6,720.373044324,Custom NewCustomerPurchase - Stay Cold Mable
EX I SHOPPING I PUR I T-ROAS I NEAR INDEX,customers/3599116618/campaigns/19764299214,19.963829,2704.594462,4,255.6,Google Shopping App Purchase
EX I SHOPPING I PUR I T-ROAS I NEAR INDEX,customers/3599116618/campaigns/19764299214,18.564502,2310.13956922,14.564471,1644.59168534,Stay Cold Apparel DE (bereinigt)  – GA4 (web) purchase
EX I SHOPPING I PUR I T-ROAS I NEAR INDEX,customers/3599116618/campaigns/19764299214,11.666664,1923.976462412,11.666664,1923.976462412,purchase_gads_mable
EX I SKANDI I PMAX I TESTING I PROSPECTING,customers/3599116618/campaigns/20289440565,11.049813,677.0536696,10.049813,547.1536696,Custom NewCustomerPurchase - Stay Cold Mable
EX I SKANDI I PMAX I TESTING I PROSPECTING,customers/3599116618/campaigns/20289440565,137.91615,19702.96888552,28.386408,3398.68739317,Stay Cold Apparel DE (bereinigt)  – GA4 (web) purchase
EX I SKANDI I PMAX I TESTING I PROSPECTING,customers/3599116618/campaigns/20289440565,177.736086,28578.212622399,151.736086,24092.712622399,purchase_gads_mable
EX I FRA I PMAX I TESTING I BROAD,customers/3599116618/campaigns/20311845501,35.805297,3737.76093742,28.855296,2714.3354727,Custom NewCustomerPurchase - Stay Cold Mable
EX I FRA I PMAX I TESTING I BROAD,customers/3599116618/campaigns/20311845501,620.089316,77744.109771774,298.142497,36711.303670882,Stay Cold Apparel DE (bereinigt)  – GA4 (web) purchase
EX I FRA I PMAX I TESTING I BROAD,customers/3599116618/campaigns/20311845501,537.690163,69517.349375254,518.860984,67237.810954914,purchase_gads_mable
EX I WW I PMAX I SCALING I FEED ONLY I OVER-INDEX + INDEX + NEAR-INDEX,customers/3599116618/campaigns/20369175508,236.355053,32343.718512252,221.993931,30197.524130808,Custom NewCustomerPurchase - Stay Cold Mable
EX I WW I PMAX I SCALING I FEED ONLY I OVER-INDEX + INDEX + NEAR-INDEX,customers/3599116618/campaigns/20369175508,1185.878396,164609.566489202,396.152096,54519.680109705,Stay Cold Apparel DE (bereinigt)  – GA4 (web) purchase
EX I WW I PMAX I SCALING I FEED ONLY I OVER-INDEX + INDEX + NEAR-INDEX,customers/3599116618/campaigns/20369175508,1805.161157,266767.907941221,1758.63355,260051.710437059,purchase_gads_mable
EX | USA | SEARCH | BRAND,customers/3599116618/campaigns/20520258918,1730.44264,287878.504008743,1648.933081,273579.331038926,Custom NewCustomerPurchase - Stay Cold Mable
EX | USA | SEARCH | BRAND,customers/3599116618/campaigns/20520258918,6097.501222,1062173.800765797,402.124059,49395.05296961,Google Shopping App Purchase
